------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:54 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 898378
decoder.bytes                                 | Total                     | 1018199875
decoder.ipv4                                  | Total                     | 902287
decoder.ethernet                              | Total                     | 898378
decoder.tcp                                   | Total                     | 53508
tcp.syn                                       | Total                     | 453
tcp.synack                                    | Total                     | 365
tcp.rst                                       | Total                     | 88
decoder.udp                                   | Total                     | 840960
decoder.avg_pkt_size                          | Total                     | 1133
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1297
flow.tcp                                      | Total                     | 780
flow.udp                                      | Total                     | 517
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 16
defrag.ipv4.fragments                         | Total                     | 7819
defrag.ipv4.reassembled                       | Total                     | 3909
flow.wrk.flows_evicted_needs_work             | Total                     | 357
flow.wrk.flows_evicted_pkt_inject             | Total                     | 590
flow.wrk.flows_evicted                        | Total                     | 11
flow.wrk.flows_injected                       | Total                     | 357
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 392
tcp.ssn_from_cache                            | Total                     | 48
tcp.ssn_from_pool                             | Total                     | 344
tcp.ack_unseen_data                           | Total                     | 50
tcp.segment_from_cache                        | Total                     | 23082
tcp.segment_from_pool                         | Total                     | 2253
tcp.stream_depth_reached                      | Total                     | 10
tcp.reassembly_gap                            | Total                     | 5
tcp.overlap                                   | Total                     | 204
detect.alert                                  | Total                     | 42
detect.alerts_suppressed                      | Total                     | 30
app_layer.flow.http                           | Total                     | 24
app_layer.tx.http                             | Total                     | 25
app_layer.flow.tls                            | Total                     | 321
app_layer.error.tls.gap                       | Total                     | 5
app_layer.flow.dns_tcp                        | Total                     | 14
app_layer.tx.dns_tcp                          | Total                     | 28
app_layer.flow.ntp                            | Total                     | 11
app_layer.tx.ntp                              | Total                     | 13
app_layer.flow.quic                           | Total                     | 77
app_layer.tx.quic                             | Total                     | 586
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 343
app_layer.tx.dns_udp                          | Total                     | 556
app_layer.flow.failed_udp                     | Total                     | 80
flow.end.state.new                            | Total                     | 611
flow.end.state.established                    | Total                     | 529
flow.end.state.closed                         | Total                     | 157
flow.end.tcp_state.syn_sent                   | Total                     | 27
flow.end.tcp_state.established                | Total                     | 132
flow.end.tcp_state.fin_wait2                  | Total                     | 72
flow.end.tcp_state.last_ack                   | Total                     | 5
flow.end.tcp_state.close_wait                 | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 152
flow.end.tcp_liberal                          | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10329
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1943
flow.mgr.flows_notimeout                      | Total                     | 1651
flow.mgr.flows_timeout                        | Total                     | 292
flow.mgr.flows_evicted                        | Total                     | 292
flow.mgr.flows_evicted_needs_work             | Total                     | 61
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 940
flow.recycler.queue_max                       | Total                     | 375
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
