------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:07:05 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 920766
decoder.bytes                                 | Total                     | 1017661317
decoder.ipv4                                  | Total                     | 924682
decoder.ethernet                              | Total                     | 920766
decoder.tcp                                   | Total                     | 34371
tcp.syn                                       | Total                     | 580
tcp.synack                                    | Total                     | 486
tcp.rst                                       | Total                     | 644
decoder.udp                                   | Total                     | 882479
decoder.avg_pkt_size                          | Total                     | 1105
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2016
flow.tcp                                      | Total                     | 1319
flow.udp                                      | Total                     | 697
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 32
flow.wrk.spare_sync_incomplete                | Total                     | 2
defrag.ipv4.fragments                         | Total                     | 7832
defrag.ipv4.reassembled                       | Total                     | 3916
flow.wrk.flows_evicted_needs_work             | Total                     | 473
flow.wrk.flows_evicted_pkt_inject             | Total                     | 675
flow.wrk.flows_evicted                        | Total                     | 28
flow.wrk.flows_injected                       | Total                     | 472
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 513
tcp.ssn_from_cache                            | Total                     | 98
tcp.ssn_from_pool                             | Total                     | 415
tcp.ack_unseen_data                           | Total                     | 96
tcp.segment_from_cache                        | Total                     | 10661
tcp.segment_from_pool                         | Total                     | 1644
tcp.stream_depth_reached                      | Total                     | 1
tcp.reassembly_gap                            | Total                     | 13
tcp.overlap                                   | Total                     | 24
detect.alert                                  | Total                     | 48
detect.alerts_suppressed                      | Total                     | 47
app_layer.flow.http                           | Total                     | 43
app_layer.tx.http                             | Total                     | 67
app_layer.flow.tls                            | Total                     | 421
app_layer.error.tls.gap                       | Total                     | 11
app_layer.flow.dns_tcp                        | Total                     | 12
app_layer.tx.dns_tcp                          | Total                     | 24
app_layer.flow.ntp                            | Total                     | 6
app_layer.tx.ntp                              | Total                     | 9
app_layer.flow.quic                           | Total                     | 117
app_layer.tx.quic                             | Total                     | 845
app_layer.flow.snmp                           | Total                     | 7
app_layer.tx.snmp                             | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 493
app_layer.tx.dns_udp                          | Total                     | 821
app_layer.flow.failed_udp                     | Total                     | 74
flow.end.state.new                            | Total                     | 1092
flow.end.state.established                    | Total                     | 597
flow.end.state.closed                         | Total                     | 327
flow.end.tcp_state.syn_sent                   | Total                     | 30
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 144
flow.end.tcp_state.fin_wait2                  | Total                     | 9
flow.end.tcp_state.last_ack                   | Total                     | 25
flow.end.tcp_state.close_wait                 | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 302
flow.end.tcp_liberal                          | Total                     | 12
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9550
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 2982
flow.mgr.flows_notimeout                      | Total                     | 2209
flow.mgr.flows_timeout                        | Total                     | 773
flow.mgr.flows_evicted                        | Total                     | 773
flow.mgr.flows_evicted_needs_work             | Total                     | 123
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1540
flow.recycler.queue_max                       | Total                     | 640
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 2104
flow.memuse                                   | Total                     | 7388704
