------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:22 (uptime: 0d, 00h 00m 09s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1467072
decoder.bytes                                 | Total                     | 999771527
decoder.ipv4                                  | Total                     | 1568729
decoder.ethernet                              | Total                     | 1467072
decoder.tcp                                   | Total                     | 739355
tcp.syn                                       | Total                     | 5856
tcp.synack                                    | Total                     | 5008
tcp.rst                                       | Total                     | 3649
decoder.udp                                   | Total                     | 625583
decoder.avg_pkt_size                          | Total                     | 681
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 11612
flow.tcp                                      | Total                     | 6133
flow.udp                                      | Total                     | 5479
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 80
defrag.ipv4.fragments                         | Total                     | 203791
defrag.ipv4.reassembled                       | Total                     | 101657
flow.wrk.flows_evicted_needs_work             | Total                     | 4857
flow.wrk.flows_evicted_pkt_inject             | Total                     | 6115
flow.wrk.flows_evicted                        | Total                     | 3383
flow.wrk.flows_injected                       | Total                     | 4729
flow.wrk.flows_injected_max                   | Total                     | 33
tcp.sessions                                  | Total                     | 5201
tcp.ssn_from_cache                            | Total                     | 2020
tcp.ssn_from_pool                             | Total                     | 3181
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 2362
tcp.segment_from_cache                        | Total                     | 213301
tcp.segment_from_pool                         | Total                     | 10755
tcp.stream_depth_reached                      | Total                     | 59
tcp.reassembly_gap                            | Total                     | 106
tcp.overlap                                   | Total                     | 1270
detect.alert                                  | Total                     | 38
detect.alerts_suppressed                      | Total                     | 416
app_layer.flow.http                           | Total                     | 272
app_layer.tx.http                             | Total                     | 496
app_layer.flow.smtp                           | Total                     | 5
app_layer.tx.smtp                             | Total                     | 7
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 4475
app_layer.error.tls.gap                       | Total                     | 74
app_layer.flow.dns_tcp                        | Total                     | 87
app_layer.tx.dns_tcp                          | Total                     | 170
app_layer.flow.ntp                            | Total                     | 65
app_layer.tx.ntp                              | Total                     | 114
app_layer.flow.quic                           | Total                     | 1026
app_layer.tx.quic                             | Total                     | 7571
app_layer.error.quic.parser                   | Total                     | 1
app_layer.flow.snmp                           | Total                     | 51
app_layer.tx.snmp                             | Total                     | 51
app_layer.flow.failed_tcp                     | Total                     | 9
app_layer.flow.dns_udp                        | Total                     | 4256
app_layer.tx.dns_udp                          | Total                     | 8061
app_layer.flow.failed_udp                     | Total                     | 81
flow.end.state.new                            | Total                     | 3112
flow.end.state.established                    | Total                     | 3975
flow.end.state.closed                         | Total                     | 4525
flow.end.tcp_state.syn_sent                   | Total                     | 256
flow.end.tcp_state.syn_recv                   | Total                     | 14
flow.end.tcp_state.established                | Total                     | 247
flow.end.tcp_state.fin_wait1                  | Total                     | 6
flow.end.tcp_state.fin_wait2                  | Total                     | 90
flow.end.tcp_state.time_wait                  | Total                     | 478
flow.end.tcp_state.last_ack                   | Total                     | 130
flow.end.tcp_state.close_wait                 | Total                     | 63
flow.end.tcp_state.closed                     | Total                     | 3917
flow.end.tcp_liberal                          | Total                     | 76
flow.mgr.full_hash_pass                       | Total                     | 28
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 11089
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 18586
flow.mgr.flows_notimeout                      | Total                     | 9627
flow.mgr.flows_timeout                        | Total                     | 8959
flow.mgr.flows_evicted                        | Total                     | 8959
flow.mgr.flows_evicted_needs_work             | Total                     | 3974
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 6352
flow.recycler.queue_max                       | Total                     | 1090
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7896112
