------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:38 (uptime: 0d, 00h 00m 14s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1081204
decoder.bytes                                 | Total                     | 1012485330
decoder.ipv4                                  | Total                     | 1113916
decoder.ethernet                              | Total                     | 1081204
decoder.tcp                                   | Total                     | 202164
tcp.syn                                       | Total                     | 1833
tcp.synack                                    | Total                     | 1462
tcp.rst                                       | Total                     | 957
decoder.udp                                   | Total                     | 846231
decoder.avg_pkt_size                          | Total                     | 936
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 4163
flow.tcp                                      | Total                     | 2117
flow.udp                                      | Total                     | 2046
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 37
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv4.fragments                         | Total                     | 65521
defrag.ipv4.reassembled                       | Total                     | 32712
flow.wrk.flows_evicted_needs_work             | Total                     | 1445
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2086
flow.wrk.flows_evicted                        | Total                     | 516
flow.wrk.flows_injected                       | Total                     | 1439
flow.wrk.flows_injected_max                   | Total                     | 8
tcp.sessions                                  | Total                     | 1567
tcp.ssn_from_cache                            | Total                     | 410
tcp.ssn_from_pool                             | Total                     | 1157
tcp.ack_unseen_data                           | Total                     | 162
tcp.segment_from_cache                        | Total                     | 37147
tcp.segment_from_pool                         | Total                     | 3062
tcp.stream_depth_reached                      | Total                     | 11
tcp.reassembly_gap                            | Total                     | 35
tcp.overlap                                   | Total                     | 50
detect.alert                                  | Total                     | 10
detect.alerts_suppressed                      | Total                     | 91
app_layer.flow.http                           | Total                     | 109
app_layer.tx.http                             | Total                     | 121
app_layer.flow.smtp                           | Total                     | 5
app_layer.tx.smtp                             | Total                     | 5
app_layer.error.smtp.parser                   | Total                     | 5
app_layer.flow.tls                            | Total                     | 1297
app_layer.error.tls.gap                       | Total                     | 35
app_layer.flow.dns_tcp                        | Total                     | 14
app_layer.tx.dns_tcp                          | Total                     | 28
app_layer.flow.ntp                            | Total                     | 26
app_layer.tx.ntp                              | Total                     | 44
app_layer.flow.quic                           | Total                     | 300
app_layer.tx.quic                             | Total                     | 2564
app_layer.flow.snmp                           | Total                     | 24
app_layer.tx.snmp                             | Total                     | 24
app_layer.flow.failed_tcp                     | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 1621
app_layer.tx.dns_udp                          | Total                     | 2652
app_layer.flow.failed_udp                     | Total                     | 75
flow.end.state.new                            | Total                     | 1541
flow.end.state.established                    | Total                     | 1508
flow.end.state.closed                         | Total                     | 1114
flow.end.tcp_state.syn_sent                   | Total                     | 111
flow.end.tcp_state.syn_recv                   | Total                     | 2
flow.end.tcp_state.established                | Total                     | 222
flow.end.tcp_state.fin_wait2                  | Total                     | 99
flow.end.tcp_state.time_wait                  | Total                     | 207
flow.end.tcp_state.last_ack                   | Total                     | 23
flow.end.tcp_state.close_wait                 | Total                     | 19
flow.end.tcp_state.closed                     | Total                     | 884
flow.end.tcp_liberal                          | Total                     | 35
flow.mgr.full_hash_pass                       | Total                     | 14
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10985
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5690
flow.mgr.flows_notimeout                      | Total                     | 3063
flow.mgr.flows_timeout                        | Total                     | 2627
flow.mgr.flows_evicted                        | Total                     | 2627
flow.mgr.flows_evicted_needs_work             | Total                     | 997
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 2596
flow.recycler.queue_max                       | Total                     | 566
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7634752
