------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:20 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 944743
decoder.bytes                                 | Total                     | 1016698790
decoder.ipv4                                  | Total                     | 952373
decoder.ethernet                              | Total                     | 944743
decoder.tcp                                   | Total                     | 78888
tcp.syn                                       | Total                     | 717
tcp.synack                                    | Total                     | 593
tcp.rst                                       | Total                     | 610
decoder.udp                                   | Total                     | 858222
decoder.avg_pkt_size                          | Total                     | 1076
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2244
flow.tcp                                      | Total                     | 1357
flow.udp                                      | Total                     | 887
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 32
flow.wrk.spare_sync_incomplete                | Total                     | 3
defrag.ipv4.fragments                         | Total                     | 15263
defrag.ipv4.reassembled                       | Total                     | 7630
flow.wrk.flows_evicted_needs_work             | Total                     | 578
flow.wrk.flows_evicted_pkt_inject             | Total                     | 905
flow.wrk.flows_evicted                        | Total                     | 41
flow.wrk.flows_injected                       | Total                     | 577
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 624
tcp.ssn_from_cache                            | Total                     | 156
tcp.ssn_from_pool                             | Total                     | 468
tcp.ack_unseen_data                           | Total                     | 73
tcp.segment_from_cache                        | Total                     | 19595
tcp.segment_from_pool                         | Total                     | 1959
tcp.stream_depth_reached                      | Total                     | 12
tcp.reassembly_gap                            | Total                     | 12
tcp.overlap                                   | Total                     | 383
detect.alert                                  | Total                     | 69
detect.alerts_suppressed                      | Total                     | 40
app_layer.flow.http                           | Total                     | 55
app_layer.tx.http                             | Total                     | 61
app_layer.flow.tls                            | Total                     | 489
app_layer.error.tls.gap                       | Total                     | 12
app_layer.flow.dns_tcp                        | Total                     | 5
app_layer.tx.dns_tcp                          | Total                     | 8
app_layer.flow.ntp                            | Total                     | 11
app_layer.tx.ntp                              | Total                     | 17
app_layer.flow.quic                           | Total                     | 142
app_layer.tx.quic                             | Total                     | 1184
app_layer.flow.snmp                           | Total                     | 9
app_layer.tx.snmp                             | Total                     | 9
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 650
app_layer.tx.dns_udp                          | Total                     | 1088
app_layer.flow.failed_udp                     | Total                     | 75
flow.end.state.new                            | Total                     | 1107
flow.end.state.established                    | Total                     | 828
flow.end.state.closed                         | Total                     | 309
flow.end.tcp_state.syn_sent                   | Total                     | 44
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 181
flow.end.tcp_state.fin_wait2                  | Total                     | 83
flow.end.tcp_state.time_wait                  | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 11
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 297
flow.end.tcp_liberal                          | Total                     | 12
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9689
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 3282
flow.mgr.flows_notimeout                      | Total                     | 2437
flow.mgr.flows_timeout                        | Total                     | 845
flow.mgr.flows_evicted                        | Total                     | 845
flow.mgr.flows_evicted_needs_work             | Total                     | 180
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1659
flow.recycler.queue_max                       | Total                     | 594
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7415104
