------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:52 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 912582
decoder.bytes                                 | Total                     | 1017743713
decoder.ipv4                                  | Total                     | 915903
decoder.ethernet                              | Total                     | 912582
decoder.tcp                                   | Total                     | 59096
tcp.syn                                       | Total                     | 529
tcp.synack                                    | Total                     | 454
tcp.rst                                       | Total                     | 446
decoder.udp                                   | Total                     | 849843
decoder.avg_pkt_size                          | Total                     | 1115
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1769
flow.tcp                                      | Total                     | 1136
flow.udp                                      | Total                     | 633
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 27
defrag.ipv4.fragments                         | Total                     | 6964
defrag.ipv4.reassembled                       | Total                     | 3321
flow.wrk.flows_evicted_needs_work             | Total                     | 439
flow.wrk.flows_evicted_pkt_inject             | Total                     | 644
flow.wrk.flows_evicted                        | Total                     | 13
flow.wrk.flows_injected                       | Total                     | 439
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 474
tcp.ssn_from_cache                            | Total                     | 73
tcp.ssn_from_pool                             | Total                     | 401
tcp.ack_unseen_data                           | Total                     | 50
tcp.segment_from_cache                        | Total                     | 25039
tcp.segment_from_pool                         | Total                     | 2771
tcp.stream_depth_reached                      | Total                     | 15
tcp.reassembly_gap                            | Total                     | 7
tcp.overlap                                   | Total                     | 474
detect.alert                                  | Total                     | 41
detect.alerts_suppressed                      | Total                     | 26
app_layer.flow.http                           | Total                     | 31
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 400
app_layer.error.tls.gap                       | Total                     | 7
app_layer.flow.dns_tcp                        | Total                     | 11
app_layer.tx.dns_tcp                          | Total                     | 22
app_layer.flow.ntp                            | Total                     | 9
app_layer.tx.ntp                              | Total                     | 10
app_layer.flow.quic                           | Total                     | 99
app_layer.tx.quic                             | Total                     | 717
app_layer.flow.snmp                           | Total                     | 4
app_layer.tx.snmp                             | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 444
app_layer.tx.dns_udp                          | Total                     | 725
app_layer.flow.failed_udp                     | Total                     | 77
flow.end.state.new                            | Total                     | 898
flow.end.state.established                    | Total                     | 563
flow.end.state.closed                         | Total                     | 308
flow.end.tcp_state.syn_sent                   | Total                     | 23
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 109
flow.end.tcp_state.fin_wait2                  | Total                     | 28
flow.end.tcp_state.time_wait                  | Total                     | 23
flow.end.tcp_state.last_ack                   | Total                     | 13
flow.end.tcp_state.close_wait                 | Total                     | 5
flow.end.tcp_state.closed                     | Total                     | 272
flow.end.tcp_liberal                          | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9235
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 2648
flow.mgr.flows_notimeout                      | Total                     | 2330
flow.mgr.flows_timeout                        | Total                     | 318
flow.mgr.flows_evicted                        | Total                     | 318
flow.mgr.flows_evicted_needs_work             | Total                     | 82
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1329
flow.recycler.queue_max                       | Total                     | 718
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 2104
flow.memuse                                   | Total                     | 7283104
