------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:46 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1391355
decoder.bytes                                 | Total                     | 1002698664
decoder.ipv4                                  | Total                     | 1419761
decoder.ethernet                              | Total                     | 1391355
decoder.tcp                                   | Total                     | 615440
tcp.syn                                       | Total                     | 5560
tcp.synack                                    | Total                     | 4880
tcp.rst                                       | Total                     | 2726
decoder.udp                                   | Total                     | 747249
decoder.avg_pkt_size                          | Total                     | 720
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 11860
flow.tcp                                      | Total                     | 5822
flow.udp                                      | Total                     | 6038
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 88
flow.wrk.spare_sync_incomplete                | Total                     | 16
defrag.ipv4.fragments                         | Total                     | 57072
defrag.ipv4.reassembled                       | Total                     | 28406
flow.wrk.flows_evicted_needs_work             | Total                     | 4519
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5868
flow.wrk.flows_evicted                        | Total                     | 2576
flow.wrk.flows_injected                       | Total                     | 4472
flow.wrk.flows_injected_max                   | Total                     | 21
tcp.sessions                                  | Total                     | 5012
tcp.ssn_from_cache                            | Total                     | 2707
tcp.ssn_from_pool                             | Total                     | 2305
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 401
tcp.segment_from_cache                        | Total                     | 184906
tcp.segment_from_pool                         | Total                     | 9753
tcp.stream_depth_reached                      | Total                     | 42
tcp.reassembly_gap                            | Total                     | 42
tcp.overlap                                   | Total                     | 727
detect.alert                                  | Total                     | 20
detect.alerts_suppressed                      | Total                     | 491
app_layer.flow.http                           | Total                     | 270
app_layer.tx.http                             | Total                     | 478
app_layer.flow.smtp                           | Total                     | 3
app_layer.tx.smtp                             | Total                     | 3
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 4133
app_layer.error.tls.gap                       | Total                     | 41
app_layer.flow.dns_tcp                        | Total                     | 234
app_layer.tx.dns_tcp                          | Total                     | 468
app_layer.flow.ntp                            | Total                     | 54
app_layer.tx.ntp                              | Total                     | 93
app_layer.flow.quic                           | Total                     | 1101
app_layer.tx.quic                             | Total                     | 8167
app_layer.flow.snmp                           | Total                     | 43
app_layer.tx.snmp                             | Total                     | 43
app_layer.flow.failed_tcp                     | Total                     | 18
app_layer.flow.dns_udp                        | Total                     | 4755
app_layer.tx.dns_udp                          | Total                     | 9034
app_layer.flow.failed_udp                     | Total                     | 85
flow.end.state.new                            | Total                     | 2824
flow.end.state.established                    | Total                     | 4868
flow.end.state.closed                         | Total                     | 4168
flow.end.tcp_state.syn_sent                   | Total                     | 215
flow.end.tcp_state.syn_recv                   | Total                     | 25
flow.end.tcp_state.established                | Total                     | 305
flow.end.tcp_state.fin_wait2                  | Total                     | 249
flow.end.tcp_state.time_wait                  | Total                     | 442
flow.end.tcp_state.last_ack                   | Total                     | 85
flow.end.tcp_state.close_wait                 | Total                     | 50
flow.end.tcp_state.closed                     | Total                     | 3641
flow.end.tcp_liberal                          | Total                     | 42
flow.mgr.full_hash_pass                       | Total                     | 42
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10685
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 23684
flow.mgr.flows_notimeout                      | Total                     | 14164
flow.mgr.flows_timeout                        | Total                     | 9520
flow.mgr.flows_evicted                        | Total                     | 9520
flow.mgr.flows_evicted_needs_work             | Total                     | 3718
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 7173
flow.recycler.queue_max                       | Total                     | 1296
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 102456
flow.memuse                                   | Total                     | 7789720
