------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:34 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1487662
decoder.bytes                                 | Total                     | 999105996
decoder.ipv4                                  | Total                     | 1656370
decoder.ethernet                              | Total                     | 1487662
decoder.tcp                                   | Total                     | 467863
tcp.syn                                       | Total                     | 5285
tcp.synack                                    | Total                     | 4295
tcp.rst                                       | Total                     | 2983
decoder.udp                                   | Total                     | 850590
decoder.avg_pkt_size                          | Total                     | 671
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 10633
flow.tcp                                      | Total                     | 5253
flow.udp                                      | Total                     | 5380
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 95
flow.wrk.spare_sync                           | Total                     | 79
flow.wrk.spare_sync_incomplete                | Total                     | 37
defrag.ipv4.fragments                         | Total                     | 337917
defrag.ipv4.reassembled                       | Total                     | 168708
flow.wrk.flows_evicted_needs_work             | Total                     | 4174
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5635
flow.wrk.flows_evicted                        | Total                     | 2029
flow.wrk.flows_injected                       | Total                     | 4159
flow.wrk.flows_injected_max                   | Total                     | 7
tcp.sessions                                  | Total                     | 4562
tcp.ssn_from_cache                            | Total                     | 3482
tcp.ssn_from_pool                             | Total                     | 1080
tcp.ack_unseen_data                           | Total                     | 633
tcp.segment_from_cache                        | Total                     | 132144
tcp.segment_from_pool                         | Total                     | 7066
tcp.stream_depth_reached                      | Total                     | 37
tcp.reassembly_gap                            | Total                     | 105
tcp.overlap                                   | Total                     | 681
detect.alert                                  | Total                     | 21
detect.alerts_suppressed                      | Total                     | 430
app_layer.flow.http                           | Total                     | 321
app_layer.tx.http                             | Total                     | 494
app_layer.flow.smtp                           | Total                     | 11
app_layer.tx.smtp                             | Total                     | 11
app_layer.error.smtp.parser                   | Total                     | 11
app_layer.flow.tls                            | Total                     | 3726
app_layer.error.tls.gap                       | Total                     | 78
app_layer.flow.dns_tcp                        | Total                     | 80
app_layer.tx.dns_tcp                          | Total                     | 160
app_layer.flow.ntp                            | Total                     | 92
app_layer.tx.ntp                              | Total                     | 154
app_layer.flow.quic                           | Total                     | 834
app_layer.tx.quic                             | Total                     | 6859
app_layer.flow.snmp                           | Total                     | 66
app_layer.tx.snmp                             | Total                     | 66
app_layer.flow.failed_tcp                     | Total                     | 16
app_layer.flow.dns_udp                        | Total                     | 4309
app_layer.tx.dns_udp                          | Total                     | 7224
app_layer.flow.failed_udp                     | Total                     | 79
flow.end.state.new                            | Total                     | 3369
flow.end.state.established                    | Total                     | 3374
flow.end.state.closed                         | Total                     | 3890
flow.end.tcp_state.syn_sent                   | Total                     | 296
flow.end.tcp_state.syn_recv                   | Total                     | 2
flow.end.tcp_state.established                | Total                     | 195
flow.end.tcp_state.fin_wait2                  | Total                     | 122
flow.end.tcp_state.time_wait                  | Total                     | 759
flow.end.tcp_state.last_ack                   | Total                     | 67
flow.end.tcp_state.close_wait                 | Total                     | 57
flow.end.tcp_state.closed                     | Total                     | 3064
flow.end.tcp_liberal                          | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 64
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10871
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 26525
flow.mgr.flows_notimeout                      | Total                     | 17267
flow.mgr.flows_timeout                        | Total                     | 9258
flow.mgr.flows_evicted                        | Total                     | 9258
flow.mgr.flows_evicted_needs_work             | Total                     | 3732
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 6397
flow.recycler.queue_max                       | Total                     | 621
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7606240
