07/30/2025-15:49:07.537336  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:49:07.547750  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:49:08.817304  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:11.318498  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:13.819515  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:16.567665  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:19.287845  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:22.005991  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:24.756050  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:27.537161  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:30.302133  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:33.106317  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.218:50393 -> 203.65.99.225:7660
07/30/2025-15:49:33.037400  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:35.537420  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:38.287494  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:41.036735  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:43.787575  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:46.538234  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:47.969063  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.218:50413 -> 203.65.99.230:7660
07/30/2025-15:49:49.287209  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
