------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:07:09 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1112925
decoder.bytes                                 | Total                     | 1011617174
decoder.ipv4                                  | Total                     | 1128259
decoder.ethernet                              | Total                     | 1112925
decoder.tcp                                   | Total                     | 189816
tcp.syn                                       | Total                     | 2405
tcp.synack                                    | Total                     | 2067
tcp.rst                                       | Total                     | 1194
decoder.udp                                   | Total                     | 907726
decoder.avg_pkt_size                          | Total                     | 908
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 6248
flow.tcp                                      | Total                     | 2697
flow.udp                                      | Total                     | 3551
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 62
flow.wrk.spare_sync_incomplete                | Total                     | 20
defrag.ipv4.fragments                         | Total                     | 30717
defrag.ipv4.reassembled                       | Total                     | 15334
flow.wrk.flows_evicted_needs_work             | Total                     | 2001
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2716
flow.wrk.flows_evicted                        | Total                     | 538
flow.wrk.flows_injected                       | Total                     | 1995
flow.wrk.flows_injected_max                   | Total                     | 7
tcp.sessions                                  | Total                     | 2157
tcp.ssn_from_cache                            | Total                     | 1100
tcp.ssn_from_pool                             | Total                     | 1057
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 184
tcp.segment_from_cache                        | Total                     | 58298
tcp.segment_from_pool                         | Total                     | 3474
tcp.stream_depth_reached                      | Total                     | 13
tcp.reassembly_gap                            | Total                     | 25
tcp.overlap                                   | Total                     | 246
detect.alert                                  | Total                     | 171
detect.alerts_suppressed                      | Total                     | 105
app_layer.flow.http                           | Total                     | 109
app_layer.tx.http                             | Total                     | 117
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 4
app_layer.error.smtp.gap                      | Total                     | 1
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 1855
app_layer.error.tls.gap                       | Total                     | 24
app_layer.flow.dns_tcp                        | Total                     | 50
app_layer.tx.dns_tcp                          | Total                     | 100
app_layer.flow.ntp                            | Total                     | 21
app_layer.tx.ntp                              | Total                     | 39
app_layer.flow.quic                           | Total                     | 639
app_layer.tx.quic                             | Total                     | 3818
app_layer.flow.snmp                           | Total                     | 21
app_layer.tx.snmp                             | Total                     | 21
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 2795
app_layer.tx.dns_udp                          | Total                     | 5162
app_layer.flow.failed_udp                     | Total                     | 75
flow.end.state.new                            | Total                     | 1736
flow.end.state.established                    | Total                     | 2865
flow.end.state.closed                         | Total                     | 1647
flow.end.tcp_state.syn_sent                   | Total                     | 107
flow.end.tcp_state.syn_recv                   | Total                     | 8
flow.end.tcp_state.established                | Total                     | 352
flow.end.tcp_state.fin_wait2                  | Total                     | 26
flow.end.tcp_state.time_wait                  | Total                     | 214
flow.end.tcp_state.last_ack                   | Total                     | 37
flow.end.tcp_state.close_wait                 | Total                     | 17
flow.end.tcp_state.closed                     | Total                     | 1396
flow.end.tcp_liberal                          | Total                     | 25
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9960
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 11754
flow.mgr.flows_notimeout                      | Total                     | 8070
flow.mgr.flows_timeout                        | Total                     | 3684
flow.mgr.flows_evicted                        | Total                     | 3684
flow.mgr.flows_evicted_needs_work             | Total                     | 1171
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 4212
flow.recycler.queue_max                       | Total                     | 1149
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7758304
