------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:25 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 891458
decoder.bytes                                 | Total                     | 1018435217
decoder.ipv4                                  | Total                     | 891458
decoder.ethernet                              | Total                     | 891458
decoder.tcp                                   | Total                     | 56276
tcp.syn                                       | Total                     | 433
tcp.synack                                    | Total                     | 374
tcp.rst                                       | Total                     | 148
decoder.udp                                   | Total                     | 835182
decoder.avg_pkt_size                          | Total                     | 1142
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1468
flow.tcp                                      | Total                     | 884
flow.udp                                      | Total                     | 584
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 18
flow.wrk.flows_evicted_needs_work             | Total                     | 354
flow.wrk.flows_evicted_pkt_inject             | Total                     | 593
flow.wrk.flows_evicted                        | Total                     | 2
flow.wrk.flows_injected                       | Total                     | 354
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 390
tcp.ssn_from_cache                            | Total                     | 22
tcp.ssn_from_pool                             | Total                     | 368
tcp.ack_unseen_data                           | Total                     | 33
tcp.segment_from_cache                        | Total                     | 13174
tcp.segment_from_pool                         | Total                     | 1687
tcp.stream_depth_reached                      | Total                     | 4
tcp.reassembly_gap                            | Total                     | 5
tcp.overlap                                   | Total                     | 14
detect.alert                                  | Total                     | 32
detect.alerts_suppressed                      | Total                     | 30
app_layer.flow.http                           | Total                     | 33
app_layer.tx.http                             | Total                     | 35
app_layer.flow.tls                            | Total                     | 323
app_layer.error.tls.gap                       | Total                     | 5
app_layer.flow.dns_tcp                        | Total                     | 14
app_layer.tx.dns_tcp                          | Total                     | 28
app_layer.flow.ntp                            | Total                     | 5
app_layer.tx.ntp                              | Total                     | 5
app_layer.flow.quic                           | Total                     | 103
app_layer.tx.quic                             | Total                     | 785
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 5
app_layer.flow.dns_udp                        | Total                     | 389
app_layer.tx.dns_udp                          | Total                     | 672
app_layer.flow.failed_udp                     | Total                     | 82
flow.end.state.new                            | Total                     | 667
flow.end.state.established                    | Total                     | 660
flow.end.state.closed                         | Total                     | 141
flow.end.tcp_state.syn_sent                   | Total                     | 18
flow.end.tcp_state.established                | Total                     | 195
flow.end.tcp_state.fin_wait2                  | Total                     | 34
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.close_wait                 | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 139
flow.end.tcp_liberal                          | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10066
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 1854
flow.mgr.flows_notimeout                      | Total                     | 1657
flow.mgr.flows_timeout                        | Total                     | 197
flow.mgr.flows_evicted                        | Total                     | 197
flow.mgr.flows_evicted_needs_work             | Total                     | 28
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1114
flow.recycler.queue_max                       | Total                     | 475
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
