------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:45 (uptime: 0d, 00h 00m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1429619
decoder.bytes                                 | Total                     | 1001164359
decoder.ipv4                                  | Total                     | 1474845
decoder.ethernet                              | Total                     | 1429619
decoder.tcp                                   | Total                     | 475952
tcp.syn                                       | Total                     | 5283
tcp.synack                                    | Total                     | 4420
tcp.rst                                       | Total                     | 3084
decoder.udp                                   | Total                     | 908305
decoder.avg_pkt_size                          | Total                     | 700
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 10976
flow.tcp                                      | Total                     | 5529
flow.udp                                      | Total                     | 5447
flow.tcp_reuse                                | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 80
flow.wrk.spare_sync_incomplete                | Total                     | 18
defrag.ipv4.fragments                         | Total                     | 90588
defrag.ipv4.reassembled                       | Total                     | 45226
decoder.event.ipv4.frag_overlap               | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 4149
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5691
flow.wrk.flows_evicted                        | Total                     | 1977
flow.wrk.flows_injected                       | Total                     | 4102
flow.wrk.flows_injected_max                   | Total                     | 16
tcp.sessions                                  | Total                     | 4614
tcp.ssn_from_cache                            | Total                     | 2711
tcp.ssn_from_pool                             | Total                     | 1903
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 474
tcp.segment_from_cache                        | Total                     | 164825
tcp.segment_from_pool                         | Total                     | 10099
tcp.stream_depth_reached                      | Total                     | 60
tcp.reassembly_gap                            | Total                     | 82
tcp.overlap                                   | Total                     | 1216
detect.alert                                  | Total                     | 23
detect.alerts_suppressed                      | Total                     | 416
app_layer.flow.http                           | Total                     | 350
app_layer.tx.http                             | Total                     | 464
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 4
app_layer.error.smtp.parser                   | Total                     | 3
app_layer.flow.tls                            | Total                     | 3736
app_layer.error.tls.gap                       | Total                     | 59
app_layer.flow.dns_tcp                        | Total                     | 126
app_layer.tx.dns_tcp                          | Total                     | 251
app_layer.flow.ntp                            | Total                     | 93
app_layer.tx.ntp                              | Total                     | 151
app_layer.flow.quic                           | Total                     | 896
app_layer.tx.quic                             | Total                     | 7348
app_layer.flow.snmp                           | Total                     | 60
app_layer.tx.snmp                             | Total                     | 60
app_layer.flow.failed_tcp                     | Total                     | 6
app_layer.flow.dns_udp                        | Total                     | 4310
app_layer.tx.dns_udp                          | Total                     | 7439
app_layer.flow.failed_udp                     | Total                     | 88
flow.end.state.new                            | Total                     | 3378
flow.end.state.established                    | Total                     | 3783
flow.end.state.closed                         | Total                     | 3815
flow.end.tcp_state.syn_sent                   | Total                     | 272
flow.end.tcp_state.syn_recv                   | Total                     | 9
flow.end.tcp_state.established                | Total                     | 289
flow.end.tcp_state.fin_wait1                  | Total                     | 8
flow.end.tcp_state.fin_wait2                  | Total                     | 178
flow.end.tcp_state.time_wait                  | Total                     | 734
flow.end.tcp_state.last_ack                   | Total                     | 56
flow.end.tcp_state.close_wait                 | Total                     | 43
flow.end.tcp_state.closed                     | Total                     | 3025
flow.end.tcp_liberal                          | Total                     | 60
flow.mgr.full_hash_pass                       | Total                     | 40
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10773
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 20549
flow.mgr.flows_notimeout                      | Total                     | 12012
flow.mgr.flows_timeout                        | Total                     | 8537
flow.mgr.flows_evicted                        | Total                     | 8537
flow.mgr.flows_evicted_needs_work             | Total                     | 3402
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 6557
flow.recycler.queue_max                       | Total                     | 797
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 141368
flow.memuse                                   | Total                     | 7752232
