------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:50 (uptime: 0d, 00h 00m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1186445
decoder.bytes                                 | Total                     | 1009024238
decoder.ipv4                                  | Total                     | 1207092
decoder.ethernet                              | Total                     | 1186445
decoder.tcp                                   | Total                     | 927246
tcp.syn                                       | Total                     | 3850
tcp.synack                                    | Total                     | 3411
tcp.rst                                       | Total                     | 2255
decoder.udp                                   | Total                     | 238504
decoder.avg_pkt_size                          | Total                     | 850
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8245
flow.tcp                                      | Total                     | 4289
flow.udp                                      | Total                     | 3956
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 69
flow.wrk.spare_sync_incomplete                | Total                     | 26
defrag.ipv4.fragments                         | Total                     | 41342
defrag.ipv4.reassembled                       | Total                     | 20647
flow.wrk.flows_evicted_needs_work             | Total                     | 3093
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4131
flow.wrk.flows_evicted                        | Total                     | 1131
flow.wrk.flows_injected                       | Total                     | 3087
flow.wrk.flows_injected_max                   | Total                     | 7
tcp.sessions                                  | Total                     | 3492
tcp.ssn_from_cache                            | Total                     | 2026
tcp.ssn_from_pool                             | Total                     | 1466
tcp.pseudo                                    | Total                     | 2
tcp.ack_unseen_data                           | Total                     | 2419
tcp.segment_from_cache                        | Total                     | 140007
tcp.segment_from_pool                         | Total                     | 10054
tcp.stream_depth_reached                      | Total                     | 45
tcp.reassembly_gap                            | Total                     | 94
tcp.overlap                                   | Total                     | 739
detect.alert                                  | Total                     | 188
detect.alerts_suppressed                      | Total                     | 240
app_layer.flow.http                           | Total                     | 334
app_layer.tx.http                             | Total                     | 890
app_layer.flow.smtp                           | Total                     | 1
app_layer.tx.smtp                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 2805
app_layer.error.tls.gap                       | Total                     | 50
app_layer.flow.dns_tcp                        | Total                     | 125
app_layer.tx.dns_tcp                          | Total                     | 249
app_layer.flow.ntp                            | Total                     | 59
app_layer.tx.ntp                              | Total                     | 87
app_layer.flow.quic                           | Total                     | 714
app_layer.tx.quic                             | Total                     | 5214
app_layer.flow.snmp                           | Total                     | 32
app_layer.tx.snmp                             | Total                     | 32
app_layer.flow.failed_tcp                     | Total                     | 9
app_layer.flow.dns_udp                        | Total                     | 3061
app_layer.tx.dns_udp                          | Total                     | 5779
app_layer.flow.failed_udp                     | Total                     | 90
flow.end.state.new                            | Total                     | 2145
flow.end.state.established                    | Total                     | 3213
flow.end.state.closed                         | Total                     | 2887
flow.end.tcp_state.syn_sent                   | Total                     | 135
flow.end.tcp_state.syn_recv                   | Total                     | 11
flow.end.tcp_state.established                | Total                     | 344
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.fin_wait2                  | Total                     | 75
flow.end.tcp_state.time_wait                  | Total                     | 366
flow.end.tcp_state.last_ack                   | Total                     | 47
flow.end.tcp_state.close_wait                 | Total                     | 39
flow.end.tcp_state.closed                     | Total                     | 2474
flow.end.tcp_liberal                          | Total                     | 62
flow.mgr.full_hash_pass                       | Total                     | 35
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9948
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 18583
flow.mgr.flows_notimeout                      | Total                     | 13105
flow.mgr.flows_timeout                        | Total                     | 5478
flow.mgr.flows_evicted                        | Total                     | 5478
flow.mgr.flows_evicted_needs_work             | Total                     | 2074
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 5122
flow.recycler.queue_max                       | Total                     | 1143
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7731904
