07/30/2025-15:47:21.721874  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:27.331561  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:47:27.342216  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:47:24.472548  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:27.207888  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:29.987966  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:32.753712  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:37.347783  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:47:37.358359  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:47:35.504313  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:38.254263  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:40.753849  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:43.255080  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:45.553638  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 206.168.34.55:39780 -> 192.168.253.252:110
07/30/2025-15:47:46.035731  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:47.363169  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:47:47.373640  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:47:48.754306  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
