------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:13 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1192575
decoder.bytes                                 | Total                     | 1008852645
decoder.ipv4                                  | Total                     | 1217106
decoder.ethernet                              | Total                     | 1192575
decoder.tcp                                   | Total                     | 412392
tcp.syn                                       | Total                     | 1699
tcp.synack                                    | Total                     | 1465
tcp.rst                                       | Total                     | 1070
decoder.udp                                   | Total                     | 755503
decoder.avg_pkt_size                          | Total                     | 845
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 4078
flow.tcp                                      | Total                     | 2122
flow.udp                                      | Total                     | 1956
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 41
flow.wrk.spare_sync_incomplete                | Total                     | 7
defrag.ipv4.fragments                         | Total                     | 49211
defrag.ipv4.reassembled                       | Total                     | 24531
flow.wrk.flows_evicted_needs_work             | Total                     | 1371
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2053
flow.wrk.flows_evicted                        | Total                     | 299
flow.wrk.flows_injected                       | Total                     | 1366
flow.wrk.flows_injected_max                   | Total                     | 5
tcp.sessions                                  | Total                     | 1475
tcp.ssn_from_cache                            | Total                     | 580
tcp.ssn_from_pool                             | Total                     | 895
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 182
tcp.segment_from_cache                        | Total                     | 58744
tcp.segment_from_pool                         | Total                     | 5278
tcp.stream_depth_reached                      | Total                     | 27
tcp.reassembly_gap                            | Total                     | 7
tcp.overlap                                   | Total                     | 2044
detect.alert                                  | Total                     | 11
detect.alerts_suppressed                      | Total                     | 149
app_layer.flow.http                           | Total                     | 124
app_layer.tx.http                             | Total                     | 198
app_layer.flow.smtp                           | Total                     | 1
app_layer.tx.smtp                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 1200
app_layer.error.tls.gap                       | Total                     | 7
app_layer.flow.dns_tcp                        | Total                     | 22
app_layer.tx.dns_tcp                          | Total                     | 44
app_layer.flow.ntp                            | Total                     | 31
app_layer.tx.ntp                              | Total                     | 49
app_layer.flow.quic                           | Total                     | 307
app_layer.tx.quic                             | Total                     | 2612
app_layer.flow.snmp                           | Total                     | 18
app_layer.tx.snmp                             | Total                     | 18
app_layer.flow.failed_tcp                     | Total                     | 5
app_layer.flow.dns_udp                        | Total                     | 1502
app_layer.tx.dns_udp                          | Total                     | 2649
app_layer.flow.failed_udp                     | Total                     | 98
flow.end.state.new                            | Total                     | 1444
flow.end.state.established                    | Total                     | 1750
flow.end.state.closed                         | Total                     | 884
flow.end.tcp_state.syn_sent                   | Total                     | 87
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 282
flow.end.tcp_state.fin_wait2                  | Total                     | 208
flow.end.tcp_state.time_wait                  | Total                     | 86
flow.end.tcp_state.last_ack                   | Total                     | 26
flow.end.tcp_state.close_wait                 | Total                     | 8
flow.end.tcp_state.closed                     | Total                     | 772
flow.end.tcp_liberal                          | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 14
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10514
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 5827
flow.mgr.flows_notimeout                      | Total                     | 3850
flow.mgr.flows_timeout                        | Total                     | 1977
flow.mgr.flows_evicted                        | Total                     | 1977
flow.mgr.flows_evicted_needs_work             | Total                     | 718
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 2605
flow.recycler.queue_max                       | Total                     | 946
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7705504
