------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:02 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1242157
decoder.bytes                                 | Total                     | 1007281261
decoder.ipv4                                  | Total                     | 1263895
decoder.ethernet                              | Total                     | 1242157
decoder.tcp                                   | Total                     | 548658
tcp.syn                                       | Total                     | 4000
tcp.synack                                    | Total                     | 3289
tcp.rst                                       | Total                     | 2718
decoder.udp                                   | Total                     | 671272
decoder.avg_pkt_size                          | Total                     | 810
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8038
flow.tcp                                      | Total                     | 4266
flow.udp                                      | Total                     | 3772
flow.tcp_reuse                                | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 96
flow.wrk.spare_sync                           | Total                     | 64
flow.wrk.spare_sync_incomplete                | Total                     | 20
defrag.ipv4.fragments                         | Total                     | 43965
defrag.ipv4.reassembled                       | Total                     | 21738
flow.wrk.flows_evicted_needs_work             | Total                     | 3012
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4243
flow.wrk.flows_evicted                        | Total                     | 1018
flow.wrk.flows_injected                       | Total                     | 3001
flow.wrk.flows_injected_max                   | Total                     | 5
tcp.sessions                                  | Total                     | 3473
tcp.ssn_from_cache                            | Total                     | 2177
tcp.ssn_from_pool                             | Total                     | 1296
tcp.ack_unseen_data                           | Total                     | 351
tcp.segment_from_cache                        | Total                     | 101908
tcp.segment_from_pool                         | Total                     | 5360
tcp.stream_depth_reached                      | Total                     | 45
tcp.reassembly_gap                            | Total                     | 40
tcp.overlap                                   | Total                     | 197
detect.alert                                  | Total                     | 40
detect.alerts_suppressed                      | Total                     | 291
app_layer.flow.http                           | Total                     | 243
app_layer.tx.http                             | Total                     | 288
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 4
app_layer.error.smtp.parser                   | Total                     | 3
app_layer.flow.tls                            | Total                     | 2531
app_layer.error.tls.gap                       | Total                     | 40
app_layer.flow.dns_tcp                        | Total                     | 212
app_layer.tx.dns_tcp                          | Total                     | 424
app_layer.flow.ntp                            | Total                     | 38
app_layer.tx.ntp                              | Total                     | 72
app_layer.flow.quic                           | Total                     | 722
app_layer.tx.quic                             | Total                     | 5991
app_layer.flow.snmp                           | Total                     | 33
app_layer.tx.snmp                             | Total                     | 33
app_layer.flow.failed_tcp                     | Total                     | 25
app_layer.flow.dns_udp                        | Total                     | 2876
app_layer.tx.dns_udp                          | Total                     | 5167
app_layer.flow.failed_udp                     | Total                     | 103
flow.end.state.new                            | Total                     | 2263
flow.end.state.established                    | Total                     | 3107
flow.end.state.closed                         | Total                     | 2668
flow.end.tcp_state.syn_sent                   | Total                     | 216
flow.end.tcp_state.syn_recv                   | Total                     | 2
flow.end.tcp_state.established                | Total                     | 259
flow.end.tcp_state.fin_wait2                  | Total                     | 311
flow.end.tcp_state.time_wait                  | Total                     | 215
flow.end.tcp_state.last_ack                   | Total                     | 26
flow.end.tcp_state.close_wait                 | Total                     | 17
flow.end.tcp_state.closed                     | Total                     | 2427
flow.end.tcp_liberal                          | Total                     | 40
flow.mgr.full_hash_pass                       | Total                     | 40
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10094
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 17952
flow.mgr.flows_notimeout                      | Total                     | 12239
flow.mgr.flows_timeout                        | Total                     | 5713
flow.mgr.flows_evicted                        | Total                     | 5713
flow.mgr.flows_evicted_needs_work             | Total                     | 2214
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 4965
flow.recycler.queue_max                       | Total                     | 1116
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7573504
