------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:21 (uptime: 0d, 00h 00m 09s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1300592
decoder.bytes                                 | Total                     | 1005229609
decoder.ipv4                                  | Total                     | 1311014
decoder.ethernet                              | Total                     | 1300592
decoder.tcp                                   | Total                     | 925120
tcp.syn                                       | Total                     | 3842
tcp.synack                                    | Total                     | 3267
tcp.rst                                       | Total                     | 3093
decoder.udp                                   | Total                     | 365044
decoder.avg_pkt_size                          | Total                     | 772
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 7880
flow.tcp                                      | Total                     | 4229
flow.udp                                      | Total                     | 3651
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 78
defrag.ipv4.fragments                         | Total                     | 20850
defrag.ipv4.reassembled                       | Total                     | 10422
flow.wrk.flows_evicted_needs_work             | Total                     | 3132
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4232
flow.wrk.flows_evicted                        | Total                     | 1802
flow.wrk.flows_injected                       | Total                     | 3038
flow.wrk.flows_injected_max                   | Total                     | 21
tcp.sessions                                  | Total                     | 3394
tcp.ssn_from_cache                            | Total                     | 454
tcp.ssn_from_pool                             | Total                     | 2940
tcp.ack_unseen_data                           | Total                     | 752
tcp.segment_from_cache                        | Total                     | 207946
tcp.segment_from_pool                         | Total                     | 11645
tcp.stream_depth_reached                      | Total                     | 118
tcp.reassembly_gap                            | Total                     | 60
tcp.overlap                                   | Total                     | 1492
detect.alert                                  | Total                     | 13
detect.alerts_suppressed                      | Total                     | 293
app_layer.flow.http                           | Total                     | 237
app_layer.tx.http                             | Total                     | 362
app_layer.flow.tls                            | Total                     | 2877
app_layer.error.tls.gap                       | Total                     | 60
app_layer.flow.dns_tcp                        | Total                     | 63
app_layer.tx.dns_tcp                          | Total                     | 126
app_layer.flow.ntp                            | Total                     | 57
app_layer.tx.ntp                              | Total                     | 96
app_layer.flow.quic                           | Total                     | 537
app_layer.tx.quic                             | Total                     | 3913
app_layer.flow.snmp                           | Total                     | 36
app_layer.tx.snmp                             | Total                     | 36
app_layer.flow.failed_tcp                     | Total                     | 12
app_layer.flow.dns_udp                        | Total                     | 2938
app_layer.tx.dns_udp                          | Total                     | 5389
app_layer.flow.failed_udp                     | Total                     | 83
flow.end.state.new                            | Total                     | 2333
flow.end.state.established                    | Total                     | 2805
flow.end.state.closed                         | Total                     | 2742
flow.end.tcp_state.syn_sent                   | Total                     | 161
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 287
flow.end.tcp_state.fin_wait2                  | Total                     | 158
flow.end.tcp_state.time_wait                  | Total                     | 363
flow.end.tcp_state.last_ack                   | Total                     | 43
flow.end.tcp_state.close_wait                 | Total                     | 40
flow.end.tcp_state.closed                     | Total                     | 2336
flow.end.tcp_liberal                          | Total                     | 60
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 11076
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 8743
flow.mgr.flows_notimeout                      | Total                     | 3245
flow.mgr.flows_timeout                        | Total                     | 5498
flow.mgr.flows_evicted                        | Total                     | 5498
flow.mgr.flows_evicted_needs_work             | Total                     | 2436
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 4342
flow.recycler.queue_max                       | Total                     | 955
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 8353360
