------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:07:03 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 923474
decoder.bytes                                 | Total                     | 1017400675
decoder.ipv4                                  | Total                     | 927340
decoder.ethernet                              | Total                     | 923474
decoder.tcp                                   | Total                     | 59919
tcp.syn                                       | Total                     | 835
tcp.synack                                    | Total                     | 722
tcp.rst                                       | Total                     | 245
decoder.udp                                   | Total                     | 859687
decoder.avg_pkt_size                          | Total                     | 1101
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2269
flow.tcp                                      | Total                     | 1427
flow.udp                                      | Total                     | 842
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 32
flow.wrk.spare_sync_incomplete                | Total                     | 2
defrag.ipv4.fragments                         | Total                     | 7734
defrag.ipv4.reassembled                       | Total                     | 3866
flow.wrk.flows_evicted_needs_work             | Total                     | 673
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1086
flow.wrk.flows_evicted                        | Total                     | 20
flow.wrk.flows_injected                       | Total                     | 673
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 755
tcp.ssn_from_cache                            | Total                     | 101
tcp.ssn_from_pool                             | Total                     | 654
tcp.ack_unseen_data                           | Total                     | 76
tcp.segment_from_cache                        | Total                     | 21381
tcp.segment_from_pool                         | Total                     | 2731
tcp.stream_depth_reached                      | Total                     | 5
tcp.reassembly_gap                            | Total                     | 7
tcp.overlap                                   | Total                     | 62
detect.alert                                  | Total                     | 62
detect.alerts_suppressed                      | Total                     | 51
app_layer.flow.http                           | Total                     | 79
app_layer.tx.http                             | Total                     | 92
app_layer.flow.tls                            | Total                     | 607
app_layer.error.tls.gap                       | Total                     | 7
app_layer.flow.dns_tcp                        | Total                     | 22
app_layer.tx.dns_tcp                          | Total                     | 44
app_layer.flow.ntp                            | Total                     | 15
app_layer.tx.ntp                              | Total                     | 18
app_layer.flow.quic                           | Total                     | 132
app_layer.tx.quic                             | Total                     | 1054
app_layer.flow.snmp                           | Total                     | 8
app_layer.tx.snmp                             | Total                     | 8
app_layer.flow.failed_tcp                     | Total                     | 3
app_layer.flow.dns_udp                        | Total                     | 606
app_layer.tx.dns_udp                          | Total                     | 1038
app_layer.flow.failed_udp                     | Total                     | 81
flow.end.state.new                            | Total                     | 978
flow.end.state.established                    | Total                     | 963
flow.end.state.closed                         | Total                     | 328
flow.end.tcp_state.syn_sent                   | Total                     | 37
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 269
flow.end.tcp_state.fin_wait2                  | Total                     | 110
flow.end.tcp_state.last_ack                   | Total                     | 7
flow.end.tcp_state.close_wait                 | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 321
flow.end.tcp_liberal                          | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 16
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10231
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 3972
flow.mgr.flows_notimeout                      | Total                     | 3334
flow.mgr.flows_timeout                        | Total                     | 638
flow.mgr.flows_evicted                        | Total                     | 638
flow.mgr.flows_evicted_needs_work             | Total                     | 112
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1595
flow.recycler.queue_max                       | Total                     | 794
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 2104
flow.memuse                                   | Total                     | 7599904
