------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:38 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1311506
decoder.bytes                                 | Total                     | 1004921670
decoder.ipv4                                  | Total                     | 1338963
decoder.ethernet                              | Total                     | 1311506
decoder.tcp                                   | Total                     | 437164
tcp.syn                                       | Total                     | 4351
tcp.synack                                    | Total                     | 3188
tcp.rst                                       | Total                     | 2238
decoder.udp                                   | Total                     | 846383
decoder.avg_pkt_size                          | Total                     | 766
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8514
flow.tcp                                      | Total                     | 4324
flow.udp                                      | Total                     | 4190
flow.tcp_reuse                                | Total                     | 5
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 66
flow.wrk.spare_sync_incomplete                | Total                     | 28
defrag.ipv4.fragments                         | Total                     | 55416
defrag.ipv4.reassembled                       | Total                     | 27457
flow.wrk.flows_evicted_needs_work             | Total                     | 3287
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4633
flow.wrk.flows_evicted                        | Total                     | 1490
flow.wrk.flows_injected                       | Total                     | 3276
flow.wrk.flows_injected_max                   | Total                     | 9
tcp.sessions                                  | Total                     | 3530
tcp.ssn_from_cache                            | Total                     | 2615
tcp.ssn_from_pool                             | Total                     | 915
tcp.ack_unseen_data                           | Total                     | 450
tcp.segment_from_cache                        | Total                     | 72682
tcp.segment_from_pool                         | Total                     | 4016
tcp.stream_depth_reached                      | Total                     | 16
tcp.reassembly_gap                            | Total                     | 47
tcp.overlap                                   | Total                     | 166
detect.alert                                  | Total                     | 12
detect.alerts_suppressed                      | Total                     | 248
app_layer.flow.http                           | Total                     | 220
app_layer.tx.http                             | Total                     | 302
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 5
app_layer.error.smtp.gap                      | Total                     | 1
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 2794
app_layer.error.tls.gap                       | Total                     | 46
app_layer.flow.dns_tcp                        | Total                     | 16
app_layer.tx.dns_tcp                          | Total                     | 31
app_layer.flow.ntp                            | Total                     | 87
app_layer.tx.ntp                              | Total                     | 143
app_layer.flow.quic                           | Total                     | 532
app_layer.tx.quic                             | Total                     | 4855
app_layer.flow.snmp                           | Total                     | 56
app_layer.tx.snmp                             | Total                     | 56
app_layer.flow.failed_tcp                     | Total                     | 15
app_layer.flow.dns_udp                        | Total                     | 3428
app_layer.tx.dns_udp                          | Total                     | 5560
app_layer.flow.failed_udp                     | Total                     | 87
flow.end.state.new                            | Total                     | 3125
flow.end.state.established                    | Total                     | 2658
flow.end.state.closed                         | Total                     | 2731
flow.end.tcp_state.syn_sent                   | Total                     | 352
flow.end.tcp_state.syn_recv                   | Total                     | 4
flow.end.tcp_state.established                | Total                     | 200
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.fin_wait2                  | Total                     | 204
flow.end.tcp_state.time_wait                  | Total                     | 578
flow.end.tcp_state.last_ack                   | Total                     | 54
flow.end.tcp_state.close_wait                 | Total                     | 38
flow.end.tcp_state.closed                     | Total                     | 2099
flow.end.tcp_liberal                          | Total                     | 47
flow.mgr.full_hash_pass                       | Total                     | 61
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9570
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 21741
flow.mgr.flows_notimeout                      | Total                     | 14672
flow.mgr.flows_timeout                        | Total                     | 7069
flow.mgr.flows_evicted                        | Total                     | 7069
flow.mgr.flows_evicted_needs_work             | Total                     | 2722
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 5200
flow.recycler.queue_max                       | Total                     | 478
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
