------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:06 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1346763
decoder.bytes                                 | Total                     | 1003841449
decoder.ipv4                                  | Total                     | 1369743
decoder.ethernet                              | Total                     | 1346763
decoder.tcp                                   | Total                     | 737937
tcp.syn                                       | Total                     | 4017
tcp.synack                                    | Total                     | 3465
tcp.rst                                       | Total                     | 2517
decoder.udp                                   | Total                     | 585722
decoder.avg_pkt_size                          | Total                     | 745
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8843
flow.tcp                                      | Total                     | 4468
flow.udp                                      | Total                     | 4375
flow.tcp_reuse                                | Total                     | 5
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 69
flow.wrk.spare_sync_incomplete                | Total                     | 2
defrag.ipv4.fragments                         | Total                     | 46084
defrag.ipv4.reassembled                       | Total                     | 22980
flow.wrk.flows_evicted_needs_work             | Total                     | 3114
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4408
flow.wrk.flows_evicted                        | Total                     | 1710
flow.wrk.flows_injected                       | Total                     | 3076
flow.wrk.flows_injected_max                   | Total                     | 22
tcp.sessions                                  | Total                     | 3564
tcp.ssn_from_cache                            | Total                     | 1578
tcp.ssn_from_pool                             | Total                     | 1986
tcp.ack_unseen_data                           | Total                     | 626
tcp.segment_from_cache                        | Total                     | 97275
tcp.segment_from_pool                         | Total                     | 6795
tcp.stream_depth_reached                      | Total                     | 29
tcp.reassembly_gap                            | Total                     | 61
tcp.overlap                                   | Total                     | 608
detect.alert                                  | Total                     | 25
detect.alerts_suppressed                      | Total                     | 275
app_layer.flow.http                           | Total                     | 247
app_layer.tx.http                             | Total                     | 299
app_layer.flow.tls                            | Total                     | 2732
app_layer.error.tls.gap                       | Total                     | 61
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 1
app_layer.error.ssh.parser                    | Total                     | 2
app_layer.flow.dns_tcp                        | Total                     | 202
app_layer.tx.dns_tcp                          | Total                     | 402
app_layer.flow.ntp                            | Total                     | 61
app_layer.tx.ntp                              | Total                     | 107
app_layer.flow.quic                           | Total                     | 885
app_layer.tx.quic                             | Total                     | 7007
app_layer.error.quic.parser                   | Total                     | 20
app_layer.flow.snmp                           | Total                     | 40
app_layer.tx.snmp                             | Total                     | 40
app_layer.flow.failed_tcp                     | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 3297
app_layer.tx.dns_udp                          | Total                     | 5943
app_layer.flow.failed_udp                     | Total                     | 92
flow.end.state.new                            | Total                     | 2593
flow.end.state.established                    | Total                     | 3473
flow.end.state.closed                         | Total                     | 2777
flow.end.tcp_state.syn_sent                   | Total                     | 188
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 268
flow.end.tcp_state.fin_wait1                  | Total                     | 17
flow.end.tcp_state.fin_wait2                  | Total                     | 264
flow.end.tcp_state.time_wait                  | Total                     | 357
flow.end.tcp_state.last_ack                   | Total                     | 62
flow.end.tcp_state.close_wait                 | Total                     | 44
flow.end.tcp_state.closed                     | Total                     | 2358
flow.end.tcp_liberal                          | Total                     | 61
flow.mgr.full_hash_pass                       | Total                     | 27
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10731
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 14594
flow.mgr.flows_notimeout                      | Total                     | 8236
flow.mgr.flows_timeout                        | Total                     | 6358
flow.mgr.flows_evicted                        | Total                     | 6358
flow.mgr.flows_evicted_needs_work             | Total                     | 2299
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 5538
flow.recycler.queue_max                       | Total                     | 1118
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7774936
