------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:26 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 894678
decoder.bytes                                 | Total                     | 1018331727
decoder.ipv4                                  | Total                     | 898681
decoder.ethernet                              | Total                     | 894678
decoder.tcp                                   | Total                     | 57152
tcp.syn                                       | Total                     | 435
tcp.synack                                    | Total                     | 369
tcp.rst                                       | Total                     | 498
decoder.udp                                   | Total                     | 833522
decoder.avg_pkt_size                          | Total                     | 1138
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1620
flow.tcp                                      | Total                     | 1007
flow.udp                                      | Total                     | 613
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 23
defrag.ipv4.fragments                         | Total                     | 8007
defrag.ipv4.reassembled                       | Total                     | 4003
flow.wrk.flows_evicted_needs_work             | Total                     | 341
flow.wrk.flows_evicted_pkt_inject             | Total                     | 528
flow.wrk.flows_evicted                        | Total                     | 15
flow.wrk.flows_injected                       | Total                     | 341
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 391
tcp.ssn_from_cache                            | Total                     | 26
tcp.ssn_from_pool                             | Total                     | 365
tcp.ack_unseen_data                           | Total                     | 30
tcp.segment_from_cache                        | Total                     | 16366
tcp.segment_from_pool                         | Total                     | 2541
tcp.stream_depth_reached                      | Total                     | 9
tcp.reassembly_gap                            | Total                     | 6
tcp.overlap                                   | Total                     | 578
detect.alert                                  | Total                     | 31
detect.alerts_suppressed                      | Total                     | 29
app_layer.flow.http                           | Total                     | 17
app_layer.tx.http                             | Total                     | 19
app_layer.flow.tls                            | Total                     | 312
app_layer.error.tls.gap                       | Total                     | 6
app_layer.flow.dns_tcp                        | Total                     | 36
app_layer.tx.dns_tcp                          | Total                     | 70
app_layer.flow.ntp                            | Total                     | 6
app_layer.tx.ntp                              | Total                     | 7
app_layer.flow.quic                           | Total                     | 92
app_layer.tx.quic                             | Total                     | 714
app_layer.flow.snmp                           | Total                     | 4
app_layer.tx.snmp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 416
app_layer.tx.dns_udp                          | Total                     | 719
app_layer.flow.failed_udp                     | Total                     | 95
flow.end.state.new                            | Total                     | 830
flow.end.state.established                    | Total                     | 590
flow.end.state.closed                         | Total                     | 200
flow.end.tcp_state.syn_sent                   | Total                     | 22
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 164
flow.end.tcp_state.fin_wait2                  | Total                     | 3
flow.end.tcp_state.last_ack                   | Total                     | 8
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 192
flow.end.tcp_liberal                          | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9570
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1941
flow.mgr.flows_notimeout                      | Total                     | 1735
flow.mgr.flows_timeout                        | Total                     | 206
flow.mgr.flows_evicted                        | Total                     | 206
flow.mgr.flows_evicted_needs_work             | Total                     | 31
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1267
flow.recycler.queue_max                       | Total                     | 642
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
