------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:29 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 894933
decoder.bytes                                 | Total                     | 1018302075
decoder.ipv4                                  | Total                     | 898796
decoder.ethernet                              | Total                     | 894933
decoder.tcp                                   | Total                     | 33598
tcp.syn                                       | Total                     | 487
tcp.synack                                    | Total                     | 404
tcp.rst                                       | Total                     | 147
decoder.udp                                   | Total                     | 857471
decoder.avg_pkt_size                          | Total                     | 1137
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1432
flow.tcp                                      | Total                     | 859
flow.udp                                      | Total                     | 573
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 17
defrag.ipv4.fragments                         | Total                     | 7727
defrag.ipv4.reassembled                       | Total                     | 3863
flow.wrk.flows_evicted_needs_work             | Total                     | 362
flow.wrk.flows_evicted_pkt_inject             | Total                     | 601
flow.wrk.flows_evicted                        | Total                     | 8
flow.wrk.flows_injected                       | Total                     | 362
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 423
tcp.ssn_from_cache                            | Total                     | 37
tcp.ssn_from_pool                             | Total                     | 386
tcp.ack_unseen_data                           | Total                     | 149
tcp.segment_from_cache                        | Total                     | 8206
tcp.segment_from_pool                         | Total                     | 842
tcp.stream_depth_reached                      | Total                     | 2
tcp.reassembly_gap                            | Total                     | 28
tcp.overlap                                   | Total                     | 6
detect.alert                                  | Total                     | 44
detect.alerts_suppressed                      | Total                     | 51
app_layer.flow.http                           | Total                     | 32
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 316
app_layer.error.tls.gap                       | Total                     | 6
app_layer.flow.dns_tcp                        | Total                     | 41
app_layer.tx.dns_tcp                          | Total                     | 75
app_layer.flow.ntp                            | Total                     | 11
app_layer.tx.ntp                              | Total                     | 13
app_layer.flow.quic                           | Total                     | 88
app_layer.tx.quic                             | Total                     | 668
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 378
app_layer.tx.dns_udp                          | Total                     | 635
app_layer.flow.failed_udp                     | Total                     | 90
flow.end.state.new                            | Total                     | 645
flow.end.state.established                    | Total                     | 611
flow.end.state.closed                         | Total                     | 176
flow.end.tcp_state.syn_sent                   | Total                     | 25
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 160
flow.end.tcp_state.fin_wait2                  | Total                     | 55
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.close_wait                 | Total                     | 6
flow.end.tcp_state.closed                     | Total                     | 172
flow.end.tcp_liberal                          | Total                     | 8
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10217
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1949
flow.mgr.flows_notimeout                      | Total                     | 1674
flow.mgr.flows_timeout                        | Total                     | 275
flow.mgr.flows_evicted                        | Total                     | 275
flow.mgr.flows_evicted_needs_work             | Total                     | 50
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1069
flow.recycler.queue_max                       | Total                     | 444
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
