------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:58 (uptime: 0d, 00h 00m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1054263
decoder.bytes                                 | Total                     | 1013447293
decoder.ipv4                                  | Total                     | 1062313
decoder.ethernet                              | Total                     | 1054263
decoder.tcp                                   | Total                     | 254464
tcp.syn                                       | Total                     | 1516
tcp.synack                                    | Total                     | 1286
tcp.rst                                       | Total                     | 795
decoder.udp                                   | Total                     | 791744
decoder.avg_pkt_size                          | Total                     | 961
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 3550
flow.tcp                                      | Total                     | 2033
flow.udp                                      | Total                     | 1517
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 32
defrag.ipv4.fragments                         | Total                     | 16105
defrag.ipv4.reassembled                       | Total                     | 8050
flow.wrk.flows_evicted_needs_work             | Total                     | 1204
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1769
flow.wrk.flows_evicted                        | Total                     | 237
flow.wrk.flows_injected                       | Total                     | 1201
flow.wrk.flows_injected_max                   | Total                     | 5
tcp.sessions                                  | Total                     | 1347
tcp.ssn_from_cache                            | Total                     | 566
tcp.ssn_from_pool                             | Total                     | 781
tcp.ack_unseen_data                           | Total                     | 152
tcp.segment_from_cache                        | Total                     | 46177
tcp.segment_from_pool                         | Total                     | 3643
tcp.stream_depth_reached                      | Total                     | 32
tcp.reassembly_gap                            | Total                     | 26
tcp.overlap                                   | Total                     | 580
detect.alert                                  | Total                     | 6
detect.alerts_suppressed                      | Total                     | 110
app_layer.flow.http                           | Total                     | 81
app_layer.tx.http                             | Total                     | 111
app_layer.flow.smtp                           | Total                     | 1
app_layer.tx.smtp                             | Total                     | 1
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 1051
app_layer.error.tls.gap                       | Total                     | 24
app_layer.flow.dns_tcp                        | Total                     | 81
app_layer.tx.dns_tcp                          | Total                     | 161
app_layer.flow.ntp                            | Total                     | 21
app_layer.tx.ntp                              | Total                     | 30
app_layer.flow.quic                           | Total                     | 271
app_layer.tx.quic                             | Total                     | 2035
app_layer.flow.snmp                           | Total                     | 15
app_layer.tx.snmp                             | Total                     | 15
app_layer.flow.dns_udp                        | Total                     | 1122
app_layer.tx.dns_udp                          | Total                     | 1942
app_layer.flow.failed_udp                     | Total                     | 88
flow.end.state.new                            | Total                     | 1307
flow.end.state.established                    | Total                     | 1375
flow.end.state.closed                         | Total                     | 868
flow.end.tcp_state.syn_sent                   | Total                     | 72
flow.end.tcp_state.syn_recv                   | Total                     | 3
flow.end.tcp_state.established                | Total                     | 243
flow.end.tcp_state.fin_wait1                  | Total                     | 6
flow.end.tcp_state.fin_wait2                  | Total                     | 149
flow.end.tcp_state.time_wait                  | Total                     | 35
flow.end.tcp_state.last_ack                   | Total                     | 20
flow.end.tcp_state.close_wait                 | Total                     | 6
flow.end.tcp_state.closed                     | Total                     | 813
flow.end.tcp_liberal                          | Total                     | 26
flow.mgr.full_hash_pass                       | Total                     | 11
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 11098
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 5333
flow.mgr.flows_notimeout                      | Total                     | 3699
flow.mgr.flows_timeout                        | Total                     | 1634
flow.mgr.flows_evicted                        | Total                     | 1634
flow.mgr.flows_evicted_needs_work             | Total                     | 634
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 2273
flow.recycler.queue_max                       | Total                     | 846
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 200760
flow.memuse                                   | Total                     | 7705504
