------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:07:00 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 911027
decoder.bytes                                 | Total                     | 1017805516
decoder.ipv4                                  | Total                     | 915106
decoder.ethernet                              | Total                     | 911027
decoder.tcp                                   | Total                     | 76060
tcp.syn                                       | Total                     | 719
tcp.synack                                    | Total                     | 642
tcp.rst                                       | Total                     | 586
decoder.udp                                   | Total                     | 830887
decoder.avg_pkt_size                          | Total                     | 1117
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2475
flow.tcp                                      | Total                     | 1441
flow.udp                                      | Total                     | 1034
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 32
defrag.ipv4.fragments                         | Total                     | 8159
defrag.ipv4.reassembled                       | Total                     | 4079
flow.wrk.flows_evicted_needs_work             | Total                     | 623
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1017
flow.wrk.flows_evicted                        | Total                     | 22
flow.wrk.flows_injected                       | Total                     | 623
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 660
tcp.ssn_from_cache                            | Total                     | 101
tcp.ssn_from_pool                             | Total                     | 559
tcp.ack_unseen_data                           | Total                     | 53
tcp.segment_from_cache                        | Total                     | 15831
tcp.segment_from_pool                         | Total                     | 1504
tcp.stream_depth_reached                      | Total                     | 2
tcp.reassembly_gap                            | Total                     | 12
tcp.overlap                                   | Total                     | 32
detect.alert                                  | Total                     | 48
detect.alerts_suppressed                      | Total                     | 24
app_layer.flow.http                           | Total                     | 19
app_layer.tx.http                             | Total                     | 21
app_layer.flow.tls                            | Total                     | 584
app_layer.error.tls.gap                       | Total                     | 12
app_layer.flow.dns_tcp                        | Total                     | 15
app_layer.tx.dns_tcp                          | Total                     | 30
app_layer.flow.ntp                            | Total                     | 17
app_layer.tx.ntp                              | Total                     | 20
app_layer.flow.quic                           | Total                     | 159
app_layer.tx.quic                             | Total                     | 1178
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 759
app_layer.tx.dns_udp                          | Total                     | 1470
app_layer.flow.failed_udp                     | Total                     | 93
flow.end.state.new                            | Total                     | 1066
flow.end.state.established                    | Total                     | 1148
flow.end.state.closed                         | Total                     | 261
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.syn_recv                   | Total                     | 5
flow.end.tcp_state.established                | Total                     | 320
flow.end.tcp_state.fin_wait2                  | Total                     | 35
flow.end.tcp_state.last_ack                   | Total                     | 17
flow.end.tcp_state.close_wait                 | Total                     | 7
flow.end.tcp_state.closed                     | Total                     | 244
flow.end.tcp_liberal                          | Total                     | 12
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9654
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 3626
flow.mgr.flows_notimeout                      | Total                     | 2959
flow.mgr.flows_timeout                        | Total                     | 667
flow.mgr.flows_evicted                        | Total                     | 667
flow.mgr.flows_evicted_needs_work             | Total                     | 109
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1850
flow.recycler.queue_max                       | Total                     | 892
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7441504
