------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:43 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 879590
decoder.bytes                                 | Total                     | 1018802400
decoder.ipv4                                  | Total                     | 879591
decoder.ethernet                              | Total                     | 879590
decoder.tcp                                   | Total                     | 36709
tcp.syn                                       | Total                     | 398
tcp.synack                                    | Total                     | 321
tcp.rst                                       | Total                     | 78
decoder.udp                                   | Total                     | 842880
decoder.avg_pkt_size                          | Total                     | 1158
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1172
flow.tcp                                      | Total                     | 750
flow.udp                                      | Total                     | 422
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 16
defrag.ipv4.fragments                         | Total                     | 2
defrag.ipv4.reassembled                       | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 318
flow.wrk.flows_evicted_pkt_inject             | Total                     | 526
flow.wrk.flows_evicted                        | Total                     | 3
flow.wrk.flows_injected                       | Total                     | 318
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 346
tcp.ssn_from_cache                            | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 336
tcp.ack_unseen_data                           | Total                     | 46
tcp.segment_from_cache                        | Total                     | 11794
tcp.segment_from_pool                         | Total                     | 1848
tcp.stream_depth_reached                      | Total                     | 5
tcp.reassembly_gap                            | Total                     | 4
tcp.overlap                                   | Total                     | 118
detect.alert                                  | Total                     | 37
detect.alerts_suppressed                      | Total                     | 16
app_layer.flow.http                           | Total                     | 19
app_layer.tx.http                             | Total                     | 19
app_layer.flow.tls                            | Total                     | 278
app_layer.error.tls.gap                       | Total                     | 4
app_layer.flow.dns_tcp                        | Total                     | 10
app_layer.tx.dns_tcp                          | Total                     | 20
app_layer.flow.ntp                            | Total                     | 7
app_layer.tx.ntp                              | Total                     | 10
app_layer.flow.quic                           | Total                     | 46
app_layer.tx.quic                             | Total                     | 327
app_layer.flow.snmp                           | Total                     | 4
app_layer.tx.snmp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 293
app_layer.tx.dns_udp                          | Total                     | 469
app_layer.flow.failed_udp                     | Total                     | 72
flow.end.state.new                            | Total                     | 596
flow.end.state.established                    | Total                     | 445
flow.end.state.closed                         | Total                     | 131
flow.end.tcp_state.syn_sent                   | Total                     | 26
flow.end.tcp_state.established                | Total                     | 140
flow.end.tcp_state.fin_wait2                  | Total                     | 48
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 131
flow.end.tcp_liberal                          | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10245
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1538
flow.mgr.flows_notimeout                      | Total                     | 1365
flow.mgr.flows_timeout                        | Total                     | 173
flow.mgr.flows_evicted                        | Total                     | 173
flow.mgr.flows_evicted_needs_work             | Total                     | 21
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 852
flow.recycler.queue_max                       | Total                     | 475
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
