------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:13 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1333974
decoder.bytes                                 | Total                     | 1004234934
decoder.ipv4                                  | Total                     | 1360441
decoder.ethernet                              | Total                     | 1333974
decoder.tcp                                   | Total                     | 765114
tcp.syn                                       | Total                     | 4897
tcp.synack                                    | Total                     | 4074
tcp.rst                                       | Total                     | 2515
decoder.udp                                   | Total                     | 541824
decoder.avg_pkt_size                          | Total                     | 752
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 10116
flow.tcp                                      | Total                     | 5022
flow.udp                                      | Total                     | 5094
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 82
flow.wrk.spare_sync_incomplete                | Total                     | 25
defrag.ipv4.fragments                         | Total                     | 53503
defrag.ipv4.reassembled                       | Total                     | 26467
flow.wrk.flows_evicted_needs_work             | Total                     | 3784
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5426
flow.wrk.flows_evicted                        | Total                     | 1534
flow.wrk.flows_injected                       | Total                     | 3758
flow.wrk.flows_injected_max                   | Total                     | 14
tcp.sessions                                  | Total                     | 4233
tcp.ssn_from_cache                            | Total                     | 2381
tcp.ssn_from_pool                             | Total                     | 1852
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 649
tcp.segment_from_cache                        | Total                     | 184779
tcp.segment_from_pool                         | Total                     | 11939
tcp.stream_depth_reached                      | Total                     | 95
tcp.reassembly_gap                            | Total                     | 39
tcp.overlap                                   | Total                     | 3083
detect.alert                                  | Total                     | 19
detect.alerts_suppressed                      | Total                     | 441
app_layer.flow.http                           | Total                     | 295
app_layer.tx.http                             | Total                     | 397
app_layer.flow.smtp                           | Total                     | 2
app_layer.tx.smtp                             | Total                     | 2
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 3395
app_layer.error.tls.gap                       | Total                     | 39
app_layer.flow.dns_tcp                        | Total                     | 220
app_layer.tx.dns_tcp                          | Total                     | 416
app_layer.flow.ntp                            | Total                     | 51
app_layer.tx.ntp                              | Total                     | 89
app_layer.flow.quic                           | Total                     | 1030
app_layer.tx.quic                             | Total                     | 7874
app_layer.flow.snmp                           | Total                     | 39
app_layer.tx.snmp                             | Total                     | 39
app_layer.flow.mqtt                           | Total                     | 2
app_layer.tx.mqtt                             | Total                     | 65
app_layer.flow.failed_tcp                     | Total                     | 9
app_layer.flow.dns_udp                        | Total                     | 3889
app_layer.tx.dns_udp                          | Total                     | 6966
app_layer.flow.failed_udp                     | Total                     | 85
flow.end.state.new                            | Total                     | 2739
flow.end.state.established                    | Total                     | 4264
flow.end.state.closed                         | Total                     | 3113
flow.end.tcp_state.syn_sent                   | Total                     | 195
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 506
flow.end.tcp_state.fin_wait2                  | Total                     | 119
flow.end.tcp_state.time_wait                  | Total                     | 429
flow.end.tcp_state.last_ack                   | Total                     | 30
flow.end.tcp_state.close_wait                 | Total                     | 294
flow.end.tcp_state.closed                     | Total                     | 2654
flow.end.tcp_liberal                          | Total                     | 39
flow.mgr.full_hash_pass                       | Total                     | 37
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 11085
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 19735
flow.mgr.flows_notimeout                      | Total                     | 12093
flow.mgr.flows_timeout                        | Total                     | 7642
flow.mgr.flows_evicted                        | Total                     | 7642
flow.mgr.flows_evicted_needs_work             | Total                     | 2693
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 6169
flow.recycler.queue_max                       | Total                     | 945
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 2104
flow.memuse                                   | Total                     | 7920664
