------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:24 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1110568
decoder.bytes                                 | Total                     | 1011228037
decoder.ipv4                                  | Total                     | 1139892
decoder.ethernet                              | Total                     | 1110568
decoder.tcp                                   | Total                     | 793923
tcp.syn                                       | Total                     | 844
tcp.synack                                    | Total                     | 716
tcp.rst                                       | Total                     | 669
decoder.udp                                   | Total                     | 286683
decoder.avg_pkt_size                          | Total                     | 910
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2165
flow.tcp                                      | Total                     | 1191
flow.udp                                      | Total                     | 974
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 32
flow.wrk.spare_sync_incomplete                | Total                     | 3
defrag.ipv4.fragments                         | Total                     | 59286
defrag.ipv4.reassembled                       | Total                     | 29324
flow.wrk.flows_evicted_needs_work             | Total                     | 688
flow.wrk.flows_evicted_pkt_inject             | Total                     | 951
flow.wrk.flows_evicted                        | Total                     | 62
flow.wrk.flows_injected                       | Total                     | 688
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 744
tcp.ssn_from_cache                            | Total                     | 200
tcp.ssn_from_pool                             | Total                     | 544
tcp.ack_unseen_data                           | Total                     | 127
tcp.segment_from_cache                        | Total                     | 30636
tcp.segment_from_pool                         | Total                     | 4098
tcp.stream_depth_reached                      | Total                     | 21
tcp.reassembly_gap                            | Total                     | 11
tcp.overlap                                   | Total                     | 380
detect.alert                                  | Total                     | 4
detect.alerts_suppressed                      | Total                     | 59
app_layer.flow.http                           | Total                     | 59
app_layer.tx.http                             | Total                     | 81
app_layer.flow.tls                            | Total                     | 629
app_layer.error.tls.gap                       | Total                     | 11
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.ntp                            | Total                     | 20
app_layer.tx.ntp                              | Total                     | 26
app_layer.flow.quic                           | Total                     | 151
app_layer.tx.quic                             | Total                     | 1241
app_layer.flow.snmp                           | Total                     | 9
app_layer.tx.snmp                             | Total                     | 9
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 710
app_layer.tx.dns_udp                          | Total                     | 1183
app_layer.flow.failed_udp                     | Total                     | 84
flow.end.state.new                            | Total                     | 836
flow.end.state.established                    | Total                     | 776
flow.end.state.closed                         | Total                     | 553
flow.end.tcp_state.syn_sent                   | Total                     | 40
flow.end.tcp_state.established                | Total                     | 128
flow.end.tcp_state.fin_wait2                  | Total                     | 18
flow.end.tcp_state.time_wait                  | Total                     | 65
flow.end.tcp_state.last_ack                   | Total                     | 8
flow.end.tcp_state.close_wait                 | Total                     | 5
flow.end.tcp_state.closed                     | Total                     | 480
flow.end.tcp_liberal                          | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 15
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10096
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 4015
flow.mgr.flows_notimeout                      | Total                     | 3312
flow.mgr.flows_timeout                        | Total                     | 703
flow.mgr.flows_evicted                        | Total                     | 703
flow.mgr.flows_evicted_needs_work             | Total                     | 215
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1471
flow.recycler.queue_max                       | Total                     | 633
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 4208
flow.memuse                                   | Total                     | 7573504
