------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:31 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 905285
decoder.bytes                                 | Total                     | 1018029381
decoder.ipv4                                  | Total                     | 909172
decoder.ethernet                              | Total                     | 905285
decoder.tcp                                   | Total                     | 30068
tcp.syn                                       | Total                     | 410
tcp.synack                                    | Total                     | 337
tcp.rst                                       | Total                     | 104
decoder.udp                                   | Total                     | 871330
decoder.avg_pkt_size                          | Total                     | 1124
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1366
flow.tcp                                      | Total                     | 781
flow.udp                                      | Total                     | 585
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 16
defrag.ipv4.fragments                         | Total                     | 7774
defrag.ipv4.reassembled                       | Total                     | 3887
flow.wrk.flows_evicted_needs_work             | Total                     | 333
flow.wrk.flows_evicted_pkt_inject             | Total                     | 564
flow.wrk.flows_evicted                        | Total                     | 10
flow.wrk.flows_injected                       | Total                     | 333
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 360
tcp.ssn_from_cache                            | Total                     | 24
tcp.ssn_from_pool                             | Total                     | 336
tcp.ack_unseen_data                           | Total                     | 46
tcp.segment_from_cache                        | Total                     | 8007
tcp.segment_from_pool                         | Total                     | 1229
tcp.stream_depth_reached                      | Total                     | 3
tcp.reassembly_gap                            | Total                     | 4
tcp.overlap                                   | Total                     | 14
detect.alert                                  | Total                     | 35
detect.alerts_suppressed                      | Total                     | 18
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 28
app_layer.flow.smtp                           | Total                     | 2
app_layer.tx.smtp                             | Total                     | 2
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 288
app_layer.error.tls.gap                       | Total                     | 4
app_layer.flow.dns_tcp                        | Total                     | 14
app_layer.tx.dns_tcp                          | Total                     | 28
app_layer.flow.ntp                            | Total                     | 10
app_layer.tx.ntp                              | Total                     | 11
app_layer.flow.quic                           | Total                     | 98
app_layer.tx.quic                             | Total                     | 753
app_layer.flow.snmp                           | Total                     | 3
app_layer.tx.snmp                             | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 390
app_layer.tx.dns_udp                          | Total                     | 644
app_layer.flow.failed_udp                     | Total                     | 84
flow.end.state.new                            | Total                     | 646
flow.end.state.established                    | Total                     | 609
flow.end.state.closed                         | Total                     | 111
flow.end.tcp_state.syn_sent                   | Total                     | 26
flow.end.tcp_state.established                | Total                     | 173
flow.end.tcp_state.fin_wait2                  | Total                     | 50
flow.end.tcp_state.closed                     | Total                     | 111
flow.end.tcp_liberal                          | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10324
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1788
flow.mgr.flows_notimeout                      | Total                     | 1529
flow.mgr.flows_timeout                        | Total                     | 259
flow.mgr.flows_evicted                        | Total                     | 259
flow.mgr.flows_evicted_needs_work             | Total                     | 34
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1031
flow.recycler.queue_max                       | Total                     | 500
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
