------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:48 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 901055
decoder.bytes                                 | Total                     | 1018112766
decoder.ipv4                                  | Total                     | 905148
decoder.ethernet                              | Total                     | 901055
decoder.tcp                                   | Total                     | 65018
tcp.syn                                       | Total                     | 481
tcp.synack                                    | Total                     | 394
tcp.rst                                       | Total                     | 135
decoder.udp                                   | Total                     | 831943
decoder.avg_pkt_size                          | Total                     | 1129
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1461
flow.tcp                                      | Total                     | 912
flow.udp                                      | Total                     | 549
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 17
defrag.ipv4.fragments                         | Total                     | 8187
defrag.ipv4.reassembled                       | Total                     | 4093
flow.wrk.flows_evicted_needs_work             | Total                     | 384
flow.wrk.flows_evicted_pkt_inject             | Total                     | 637
flow.wrk.flows_evicted                        | Total                     | 7
flow.wrk.flows_injected                       | Total                     | 384
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 421
tcp.ssn_from_cache                            | Total                     | 42
tcp.ssn_from_pool                             | Total                     | 379
tcp.ack_unseen_data                           | Total                     | 69
tcp.segment_from_cache                        | Total                     | 20601
tcp.segment_from_pool                         | Total                     | 2011
tcp.stream_depth_reached                      | Total                     | 14
tcp.reassembly_gap                            | Total                     | 7
tcp.overlap                                   | Total                     | 242
detect.alert                                  | Total                     | 40
detect.alerts_suppressed                      | Total                     | 27
app_layer.flow.http                           | Total                     | 26
app_layer.tx.http                             | Total                     | 27
app_layer.flow.tls                            | Total                     | 342
app_layer.error.tls.gap                       | Total                     | 7
app_layer.flow.dns_tcp                        | Total                     | 16
app_layer.tx.dns_tcp                          | Total                     | 32
app_layer.flow.ntp                            | Total                     | 6
app_layer.tx.ntp                              | Total                     | 9
app_layer.flow.quic                           | Total                     | 89
app_layer.tx.quic                             | Total                     | 664
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 5
app_layer.flow.dns_udp                        | Total                     | 370
app_layer.tx.dns_udp                          | Total                     | 575
app_layer.flow.failed_udp                     | Total                     | 79
flow.end.state.new                            | Total                     | 733
flow.end.state.established                    | Total                     | 572
flow.end.state.closed                         | Total                     | 156
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.established                | Total                     | 161
flow.end.tcp_state.fin_wait2                  | Total                     | 72
flow.end.tcp_state.time_wait                  | Total                     | 3
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 149
flow.end.tcp_liberal                          | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10335
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 2060
flow.mgr.flows_notimeout                      | Total                     | 1778
flow.mgr.flows_timeout                        | Total                     | 282
flow.mgr.flows_evicted                        | Total                     | 282
flow.mgr.flows_evicted_needs_work             | Total                     | 44
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1075
flow.recycler.queue_max                       | Total                     | 437
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7283104
