------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:03 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1255567
decoder.bytes                                 | Total                     | 1006872512
decoder.ipv4                                  | Total                     | 1275005
decoder.ethernet                              | Total                     | 1255567
decoder.tcp                                   | Total                     | 565262
tcp.syn                                       | Total                     | 3042
tcp.synack                                    | Total                     | 2509
tcp.rst                                       | Total                     | 1730
decoder.udp                                   | Total                     | 670860
decoder.avg_pkt_size                          | Total                     | 801
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 6927
flow.tcp                                      | Total                     | 3523
flow.udp                                      | Total                     | 3404
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 95
flow.wrk.spare_sync                           | Total                     | 64
flow.wrk.spare_sync_incomplete                | Total                     | 28
defrag.ipv4.fragments                         | Total                     | 38883
defrag.ipv4.reassembled                       | Total                     | 19438
flow.wrk.flows_evicted_needs_work             | Total                     | 2292
flow.wrk.flows_evicted_pkt_inject             | Total                     | 3259
flow.wrk.flows_evicted                        | Total                     | 679
flow.wrk.flows_injected                       | Total                     | 2288
flow.wrk.flows_injected_max                   | Total                     | 6
tcp.sessions                                  | Total                     | 2640
tcp.ssn_from_cache                            | Total                     | 1493
tcp.ssn_from_pool                             | Total                     | 1147
tcp.ack_unseen_data                           | Total                     | 315
tcp.segment_from_cache                        | Total                     | 74757
tcp.segment_from_pool                         | Total                     | 5141
tcp.stream_depth_reached                      | Total                     | 23
tcp.reassembly_gap                            | Total                     | 35
tcp.overlap                                   | Total                     | 450
detect.alert                                  | Total                     | 11
detect.alerts_suppressed                      | Total                     | 243
app_layer.flow.http                           | Total                     | 252
app_layer.tx.http                             | Total                     | 293
app_layer.flow.smtp                           | Total                     | 1
app_layer.tx.smtp                             | Total                     | 1
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 2024
app_layer.error.tls.gap                       | Total                     | 35
app_layer.flow.dns_tcp                        | Total                     | 123
app_layer.tx.dns_tcp                          | Total                     | 243
app_layer.flow.ntp                            | Total                     | 40
app_layer.tx.ntp                              | Total                     | 68
app_layer.flow.quic                           | Total                     | 690
app_layer.tx.quic                             | Total                     | 5544
app_layer.flow.snmp                           | Total                     | 32
app_layer.tx.snmp                             | Total                     | 32
app_layer.flow.failed_tcp                     | Total                     | 12
app_layer.flow.dns_udp                        | Total                     | 2538
app_layer.tx.dns_udp                          | Total                     | 4518
app_layer.flow.failed_udp                     | Total                     | 104
flow.end.state.new                            | Total                     | 2180
flow.end.state.established                    | Total                     | 2852
flow.end.state.closed                         | Total                     | 1895
flow.end.tcp_state.syn_sent                   | Total                     | 142
flow.end.tcp_state.syn_recv                   | Total                     | 3
flow.end.tcp_state.established                | Total                     | 296
flow.end.tcp_state.fin_wait2                  | Total                     | 272
flow.end.tcp_state.time_wait                  | Total                     | 198
flow.end.tcp_state.last_ack                   | Total                     | 24
flow.end.tcp_state.close_wait                 | Total                     | 32
flow.end.tcp_state.closed                     | Total                     | 1673
flow.end.tcp_liberal                          | Total                     | 35
flow.mgr.full_hash_pass                       | Total                     | 34
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10274
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 14204
flow.mgr.flows_notimeout                      | Total                     | 9577
flow.mgr.flows_timeout                        | Total                     | 4627
flow.mgr.flows_evicted                        | Total                     | 4627
flow.mgr.flows_evicted_needs_work             | Total                     | 1507
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 4595
flow.recycler.queue_max                       | Total                     | 1250
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 4208
flow.memuse                                   | Total                     | 7705504
