------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:32 (uptime: 0d, 00h 00m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1268112
decoder.bytes                                 | Total                     | 1006363266
decoder.ipv4                                  | Total                     | 1356641
decoder.ethernet                              | Total                     | 1268112
decoder.tcp                                   | Total                     | 423916
tcp.syn                                       | Total                     | 2764
tcp.synack                                    | Total                     | 2337
tcp.rst                                       | Total                     | 1874
decoder.udp                                   | Total                     | 755563
decoder.avg_pkt_size                          | Total                     | 793
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 5649
flow.tcp                                      | Total                     | 3050
flow.udp                                      | Total                     | 2599
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 48
flow.wrk.spare_sync_incomplete                | Total                     | 13
defrag.ipv4.fragments                         | Total                     | 177162
defrag.ipv4.reassembled                       | Total                     | 88529
flow.wrk.flows_evicted_needs_work             | Total                     | 2254
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2948
flow.wrk.flows_evicted                        | Total                     | 649
flow.wrk.flows_injected                       | Total                     | 2249
flow.wrk.flows_injected_max                   | Total                     | 7
tcp.sessions                                  | Total                     | 2440
tcp.ssn_from_cache                            | Total                     | 1485
tcp.ssn_from_pool                             | Total                     | 955
tcp.pseudo                                    | Total                     | 4
tcp.ack_unseen_data                           | Total                     | 215
tcp.segment_from_cache                        | Total                     | 68450
tcp.segment_from_pool                         | Total                     | 4805
tcp.stream_depth_reached                      | Total                     | 16
tcp.reassembly_gap                            | Total                     | 31
tcp.overlap                                   | Total                     | 314
detect.alert                                  | Total                     | 13
detect.alerts_suppressed                      | Total                     | 178
app_layer.flow.http                           | Total                     | 164
app_layer.tx.http                             | Total                     | 234
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 4
app_layer.error.smtp.parser                   | Total                     | 3
app_layer.flow.tls                            | Total                     | 2016
app_layer.error.tls.gap                       | Total                     | 31
app_layer.flow.dns_tcp                        | Total                     | 35
app_layer.tx.dns_tcp                          | Total                     | 70
app_layer.flow.ntp                            | Total                     | 45
app_layer.tx.ntp                              | Total                     | 69
app_layer.flow.quic                           | Total                     | 413
app_layer.tx.quic                             | Total                     | 3162
app_layer.flow.snmp                           | Total                     | 27
app_layer.tx.snmp                             | Total                     | 27
app_layer.flow.failed_tcp                     | Total                     | 3
app_layer.flow.dns_udp                        | Total                     | 2038
app_layer.tx.dns_udp                          | Total                     | 3651
app_layer.flow.failed_udp                     | Total                     | 76
flow.end.state.new                            | Total                     | 1730
flow.end.state.established                    | Total                     | 1830
flow.end.state.closed                         | Total                     | 2089
flow.end.tcp_state.syn_sent                   | Total                     | 134
flow.end.tcp_state.syn_recv                   | Total                     | 6
flow.end.tcp_state.established                | Total                     | 159
flow.end.tcp_state.fin_wait2                  | Total                     | 26
flow.end.tcp_state.time_wait                  | Total                     | 303
flow.end.tcp_state.last_ack                   | Total                     | 36
flow.end.tcp_state.close_wait                 | Total                     | 26
flow.end.tcp_state.closed                     | Total                     | 1750
flow.end.tcp_liberal                          | Total                     | 31
flow.mgr.full_hash_pass                       | Total                     | 31
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10677
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 11476
flow.mgr.flows_notimeout                      | Total                     | 7784
flow.mgr.flows_timeout                        | Total                     | 3692
flow.mgr.flows_evicted                        | Total                     | 3692
flow.mgr.flows_evicted_needs_work             | Total                     | 1590
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 3348
flow.recycler.queue_max                       | Total                     | 896
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 262200
flow.memuse                                   | Total                     | 7689928
