------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:12 (uptime: 0d, 00h 00m 09s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1451246
decoder.bytes                                 | Total                     | 1000319790
decoder.ipv4                                  | Total                     | 1482549
decoder.ethernet                              | Total                     | 1451246
decoder.tcp                                   | Total                     | 975251
tcp.syn                                       | Total                     | 5345
tcp.synack                                    | Total                     | 4571
tcp.rst                                       | Total                     | 4652
decoder.udp                                   | Total                     | 444508
decoder.avg_pkt_size                          | Total                     | 689
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 11224
flow.tcp                                      | Total                     | 5818
flow.udp                                      | Total                     | 5406
flow.tcp_reuse                                | Total                     | 7
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 83
flow.wrk.spare_sync_incomplete                | Total                     | 24
defrag.ipv4.fragments                         | Total                     | 62790
defrag.ipv4.reassembled                       | Total                     | 31303
flow.wrk.flows_evicted_needs_work             | Total                     | 4205
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5737
flow.wrk.flows_evicted                        | Total                     | 1719
flow.wrk.flows_injected                       | Total                     | 4186
flow.wrk.flows_injected_max                   | Total                     | 10
tcp.sessions                                  | Total                     | 4737
tcp.ssn_from_cache                            | Total                     | 3251
tcp.ssn_from_pool                             | Total                     | 1486
tcp.pseudo                                    | Total                     | 10
tcp.ack_unseen_data                           | Total                     | 1443
tcp.segment_from_cache                        | Total                     | 237892
tcp.segment_from_pool                         | Total                     | 12727
tcp.stream_depth_reached                      | Total                     | 105
tcp.reassembly_gap                            | Total                     | 65
tcp.overlap                                   | Total                     | 1907
detect.alert                                  | Total                     | 15
detect.alerts_suppressed                      | Total                     | 822
app_layer.flow.http                           | Total                     | 563
app_layer.tx.http                             | Total                     | 1330
app_layer.flow.smtp                           | Total                     | 4
app_layer.tx.smtp                             | Total                     | 4
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 3686
app_layer.error.tls.gap                       | Total                     | 56
app_layer.flow.smb                            | Total                     | 2
app_layer.tx.smb                              | Total                     | 2
app_layer.flow.dns_tcp                        | Total                     | 75
app_layer.tx.dns_tcp                          | Total                     | 150
app_layer.flow.ntp                            | Total                     | 71
app_layer.tx.ntp                              | Total                     | 126
app_layer.flow.quic                           | Total                     | 777
app_layer.tx.quic                             | Total                     | 6130
app_layer.error.quic.parser                   | Total                     | 5
app_layer.flow.snmp                           | Total                     | 54
app_layer.tx.snmp                             | Total                     | 54
app_layer.flow.failed_tcp                     | Total                     | 19
app_layer.flow.dns_udp                        | Total                     | 4403
app_layer.tx.dns_udp                          | Total                     | 7954
app_layer.flow.failed_udp                     | Total                     | 101
flow.end.state.new                            | Total                     | 3276
flow.end.state.established                    | Total                     | 4050
flow.end.state.closed                         | Total                     | 3898
flow.end.tcp_state.syn_sent                   | Total                     | 244
flow.end.tcp_state.syn_recv                   | Total                     | 13
flow.end.tcp_state.established                | Total                     | 265
flow.end.tcp_state.fin_wait1                  | Total                     | 2
flow.end.tcp_state.fin_wait2                  | Total                     | 263
flow.end.tcp_state.time_wait                  | Total                     | 540
flow.end.tcp_state.last_ack                   | Total                     | 64
flow.end.tcp_state.close_wait                 | Total                     | 52
flow.end.tcp_state.closed                     | Total                     | 3294
flow.end.tcp_liberal                          | Total                     | 59
flow.mgr.full_hash_pass                       | Total                     | 56
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 11055
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 25315
flow.mgr.flows_notimeout                      | Total                     | 16136
flow.mgr.flows_timeout                        | Total                     | 9179
flow.mgr.flows_evicted                        | Total                     | 9179
flow.mgr.flows_evicted_needs_work             | Total                     | 3429
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 6879
flow.recycler.queue_max                       | Total                     | 654
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
http.memuse                                   | Total                     | 2104
flow.memuse                                   | Total                     | 7715800
